"Player","MP","G","MPG","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
Dave Cowens,2159,66,32.7,"1980",8.1,3.1,2.0,14.2,0.477,0.121,0.744,1
Larry Bird,2955,82,36.0,"1980",10.4,4.5,2.4,21.3,0.538,0.182,0.744,1
Kareem Abdul-Jabbar,3143,82,38.3,"1980",10.8,4.5,4.4,24.8,0.639,0.227,0.732,1
Magic Johnson,2795,77,36.3,"1980",7.7,7.3,3.0,18.0,0.602,0.18,0.732,1
Dennis Johnson,2937,81,36.3,"1980",5.1,4.1,2.8,19.0,0.489,0.12,0.683,1
Gus Williams,2969,82,36.2,"1980",3.4,4.8,2.9,22.1,0.529,0.187,0.683,1
Jack Sikma,2793,82,34.1,"1980",11.1,3.4,1.8,14.3,0.526,0.148,0.683,1
Julius Erving,2812,78,36.1,"1980",7.4,4.6,4.0,26.9,0.568,0.213,0.72,1
Marques Johnson,2686,77,34.9,"1980",7.4,3.5,2.2,21.7,0.585,0.206,0.598,1
Paul Westphal,2665,82,32.5,"1980",2.3,5.1,1.9,21.9,0.593,0.189,0.671,1
Walter Davis,2309,75,30.8,"1980",3.6,4.5,1.8,21.5,0.608,0.173,0.671,1
Otis Birdsong,2885,82,35.2,"1980",4.0,2.5,1.9,22.7,0.538,0.143,0.573,1
Scott Wedman,2347,68,34.5,"1980",5.7,2.1,1.9,19.0,0.541,0.145,0.573,1
Dan Roundfield,2588,81,32.0,"1980",10.3,2.3,3.0,16.5,0.551,0.169,0.61,1
Eddie Johnson,2622,79,33.2,"1980",2.5,4.7,1.8,18.5,0.538,0.15,0.61,1
John Drew,2306,80,28.8,"1980",5.9,1.3,1.4,19.5,0.532,0.134,0.61,1
Moses Malone,3140,82,38.3,"1980",14.5,1.8,2.3,25.8,0.56,0.183,0.5,1
George Gervin,2934,78,37.6,"1980",5.2,2.6,2.4,33.1,0.587,0.173,0.5,1
Kermit Washington,2657,80,33.2,"1980",10.5,2.1,2.6,13.4,0.584,0.165,0.463,1
Bill Cartwright,3150,82,38.4,"1980",8.9,2.0,1.8,21.7,0.608,0.148,0.476,1
Micheal Ray Richardson,3060,82,37.3,"1980",6.6,10.1,3.7,15.3,0.517,0.094,0.476,1
Elvin Hayes,3183,81,39.3,"1980",11.1,1.6,3.1,23.0,0.492,0.094,0.476,1
World B. Free,2585,68,38.0,"1980",3.5,4.2,1.7,30.2,0.544,0.148,0.427,1
Adrian Dantley,2674,68,39.3,"1980",7.6,2.8,1.6,28.0,0.635,0.189,0.293,1
Bobby Jones,2046,81,25.3,"1981",5.4,2.8,2.1,13.5,0.604,0.217,0.756,1
Julius Erving,2874,82,35.0,"1981",8.0,4.4,3.9,24.6,0.572,0.231,0.756,1
Marques Johnson,2542,76,33.4,"1981",6.8,4.6,2.1,20.3,0.583,0.211,0.732,1
Larry Bird,3239,82,39.5,"1981",10.9,5.5,2.7,21.2,0.528,0.16,0.756,1
Robert Parish,2298,82,28.0,"1981",9.5,1.8,3.6,18.9,0.579,0.228,0.756,1
Tiny Archibald,2820,80,35.3,"1981",2.2,7.7,1.2,13.8,0.582,0.118,0.756,1
Dennis Johnson,2615,79,33.1,"1981",4.6,3.7,2.5,18.8,0.516,0.154,0.695,1
Truck Robinson,3088,82,37.7,"1981",9.6,2.5,1.3,18.8,0.531,0.119,0.695,1
Walter Davis,2182,78,28.0,"1981",2.6,3.9,1.4,18.0,0.579,0.157,0.695,1
Jamaal Wilkes,3028,81,37.4,"1981",5.4,2.9,1.9,22.6,0.556,0.135,0.659,1
Kareem Abdul-Jabbar,2976,80,37.2,"1981",10.3,3.4,3.6,26.2,0.616,0.23,0.659,1
George Gervin,2765,82,33.7,"1981",5.1,3.2,1.8,27.1,0.555,0.182,0.634,1
Artis Gilmore,2832,82,34.5,"1981",10.1,2.1,3.0,17.9,0.699,0.208,0.549,1
Reggie Theus,2820,82,34.4,"1981",3.5,5.2,1.7,18.9,0.578,0.156,0.549,1
Micheal Ray Richardson,3175,79,40.2,"1981",6.9,7.9,3.4,16.4,0.511,0.104,0.61,1
Moses Malone,3245,80,40.6,"1981",14.8,1.8,2.9,27.8,0.585,0.202,0.488,1
Otis Birdsong,2593,71,36.5,"1981",3.6,3.3,1.6,24.6,0.58,0.152,0.488,1
Jack Sikma,2920,82,35.6,"1981",10.4,3.0,2.1,18.7,0.512,0.132,0.415,1
Paul Westphal,1078,36,29.9,"1981",1.9,4.1,1.7,16.7,0.517,0.106,0.415,1
Dan Roundfield,2128,63,33.8,"1981",10.1,2.6,3.1,17.6,0.575,0.159,0.378,1
Eddie Johnson,2693,75,35.9,"1981",2.4,5.4,1.8,19.1,0.554,0.122,0.378,1
Mike Mitchell,3194,82,39.0,"1981",6.1,1.7,1.4,24.5,0.513,0.091,0.341,1
Adrian Dantley,3417,80,42.7,"1981",6.4,4.0,1.6,30.7,0.622,0.191,0.341,1
Larry Bird,2923,77,38.0,"1982",10.9,5.8,2.7,22.9,0.557,0.205,0.768,1
Robert Parish,2534,80,31.7,"1982",10.8,1.8,3.3,19.9,0.571,0.19,0.768,1
Bobby Jones,2181,76,28.7,"1982",5.2,2.5,2.8,14.4,0.62,0.181,0.707,1
Julius Erving,2789,81,34.4,"1982",6.9,3.9,3.7,24.4,0.593,0.229,0.707,1
Bob Lanier,1986,74,26.8,"1982",5.2,3.0,1.7,13.5,0.596,0.16,0.671,1
Sidney Moncrief,2980,80,37.3,"1982",6.7,4.8,2.0,19.8,0.601,0.216,0.671,1
Kareem Abdul-Jabbar,2677,76,35.2,"1982",8.7,3.0,3.6,23.9,0.608,0.192,0.695,1
Magic Johnson,2991,78,38.3,"1982",9.6,9.5,3.1,18.6,0.59,0.207,0.695,1
Norm Nixon,3024,82,36.9,"1982",2.1,8.0,1.7,17.6,0.525,0.104,0.695,1
Gus Williams,2876,80,36.0,"1982",3.1,6.9,2.6,23.4,0.526,0.171,0.634,1
Jack Sikma,3049,82,37.2,"1982",12.7,3.4,2.5,19.6,0.559,0.199,0.634,1
Lonnie Shelton,2667,81,32.9,"1982",6.3,3.1,1.8,14.9,0.523,0.105,0.634,1
Dennis Johnson,2937,80,36.7,"1982",5.1,4.6,2.0,19.5,0.54,0.132,0.561,1
George Gervin,2817,79,35.7,"1982",5.0,2.4,1.5,32.3,0.562,0.182,0.585,1
Bernard King,2861,79,36.2,"1982",5.9,3.6,1.3,23.2,0.6,0.147,0.549,1
Buck Williams,2825,82,34.5,"1982",12.3,1.3,2.0,15.5,0.603,0.152,0.537,1
Dan Roundfield,2217,61,36.3,"1982",11.8,2.7,2.6,18.6,0.527,0.141,0.512,1
Alex English,3015,82,36.8,"1982",6.8,5.3,2.5,25.4,0.596,0.152,0.561,1
Moses Malone,3398,81,42.0,"1982",14.7,1.8,2.5,31.1,0.576,0.218,0.561,1
Isiah Thomas,2433,72,33.8,"1982",2.9,7.8,2.3,17.0,0.487,0.046,0.476,1
Kelly Tripucka,3077,82,37.5,"1982",5.4,3.3,1.3,21.6,0.57,0.117,0.476,1
Artis Gilmore,2796,82,34.1,"1982",10.2,1.7,3.3,18.5,0.702,0.208,0.415,1
Micheal Ray Richardson,3044,82,37.1,"1982",6.9,7.0,3.1,17.9,0.498,0.086,0.402,1
Adrian Dantley,3222,81,39.8,"1982",6.3,4.0,1.3,30.3,0.631,0.187,0.305,1
Andrew Toney,2474,81,30.5,"1983",2.8,4.5,1.2,19.7,0.558,0.141,0.793,1
Julius Erving,2421,72,33.6,"1983",6.8,3.7,3.4,21.4,0.566,0.217,0.793,1
Maurice Cheeks,2465,79,31.2,"1983",2.6,6.9,2.7,12.5,0.582,0.183,0.793,1
Moses Malone,2922,78,37.5,"1983",15.3,1.3,3.2,24.5,0.578,0.248,0.793,1
Jamaal Wilkes,2552,80,31.9,"1983",4.3,2.3,1.0,19.6,0.558,0.139,0.707,1
Kareem Abdul-Jabbar,2554,79,32.3,"1983",7.5,2.5,2.9,21.8,0.619,0.205,0.707,1
Magic Johnson,2907,79,36.8,"1983",8.6,10.5,2.8,16.8,0.603,0.207,0.707,1
Larry Bird,2982,79,37.7,"1983",11.0,5.8,2.8,23.6,0.561,0.225,0.683,1
Robert Parish,2459,78,31.5,"1983",10.6,1.8,2.9,19.3,0.582,0.211,0.683,1
Maurice Lucas,2586,77,33.6,"1983",10.4,2.8,1.3,16.5,0.528,0.132,0.646,1
Marques Johnson,2853,80,35.7,"1983",7.0,4.5,2.0,21.4,0.543,0.18,0.622,1
Sidney Moncrief,2710,76,35.7,"1983",5.8,3.9,1.8,22.5,0.602,0.233,0.622,1
Artis Gilmore,2797,82,34.1,"1983",12.0,1.5,2.8,18.0,0.668,0.189,0.646,1
George Gervin,2830,78,36.3,"1983",4.6,3.4,2.0,26.2,0.561,0.159,0.646,1
David Thompson,2155,75,28.7,"1983",3.6,3.0,1.1,15.9,0.545,0.12,0.585,1
Gus Williams,2761,80,34.5,"1983",2.6,8.0,2.6,20.0,0.517,0.148,0.585,1
Jack Sikma,2564,75,34.2,"1983",11.4,3.1,2.0,18.2,0.546,0.183,0.585,1
Buck Williams,2961,82,36.1,"1983",12.5,1.5,2.5,17.0,0.611,0.185,0.598,1
Jim Paxson,2740,81,33.8,"1983",2.1,2.9,1.9,21.7,0.573,0.178,0.561,1
Alex English,2988,82,36.4,"1983",7.3,4.8,3.0,28.4,0.561,0.166,0.549,1
Kiki Vandeweghe,2909,82,35.5,"1983",5.3,2.5,1.3,26.7,0.613,0.182,0.549,1
Bill Laimbeer,2871,82,35.0,"1983",12.1,3.2,2.1,13.6,0.552,0.142,0.451,1
Isiah Thomas,3093,81,38.2,"1983",4.0,7.8,2.8,22.9,0.525,0.115,0.451,1
Reggie Theus,2856,82,34.8,"1983",3.7,5.9,2.0,23.8,0.541,0.11,0.341,1
Kevin McHale,2577,82,31.4,"1984",7.4,1.3,1.8,18.4,0.605,0.196,0.756,1
Larry Bird,3028,79,38.3,"1984",10.1,6.6,2.7,24.2,0.552,0.215,0.756,1
Robert Parish,2867,80,35.8,"1984",10.7,1.7,2.1,19.0,0.584,0.175,0.756,1
Sidney Moncrief,3075,79,38.9,"1984",6.7,4.5,1.7,20.9,0.591,0.198,0.61,1
Bernard King,2667,77,34.6,"1984",5.1,2.1,1.2,26.3,0.619,0.218,0.573,1
Kareem Abdul-Jabbar,2622,80,32.8,"1984",7.3,2.6,2.5,21.5,0.608,0.163,0.659,1
Magic Johnson,2567,67,38.3,"1984",7.3,13.1,3.0,17.6,0.628,0.191,0.659,1
Jim Paxson,2686,81,33.2,"1984",2.1,3.1,1.6,21.3,0.573,0.17,0.585,1
Bill Laimbeer,2864,82,34.9,"1984",12.2,1.8,1.6,17.3,0.59,0.181,0.598,1
Isiah Thomas,3007,82,36.7,"1984",4.0,11.1,2.9,21.3,0.52,0.144,0.598,1
Kelly Tripucka,2493,76,32.8,"1984",4.0,3.0,1.1,21.3,0.53,0.109,0.598,1
Andrew Toney,2556,78,32.8,"1984",2.5,4.8,1.2,20.4,0.597,0.12,0.634,1
Julius Erving,2683,77,34.8,"1984",6.9,4.0,3.6,22.4,0.562,0.18,0.634,1
Moses Malone,2613,71,36.8,"1984",13.4,1.4,2.5,22.7,0.566,0.175,0.634,1
Otis Birdsong,2168,69,31.4,"1984",2.5,3.9,1.5,19.8,0.53,0.1,0.549,1
Adrian Dantley,2984,79,37.8,"1984",5.7,3.9,0.8,30.6,0.652,0.235,0.549,1
Rickey Green,2768,81,34.2,"1984",2.8,9.2,2.8,13.2,0.532,0.138,0.549,1
Walter Davis,2546,78,32.6,"1984",2.6,5.5,1.5,20.0,0.559,0.118,0.5,1
Mark Aguirre,2900,79,36.7,"1984",5.9,4.5,1.3,29.5,0.572,0.149,0.524,1
Jack Sikma,2993,82,36.5,"1984",11.1,4.0,2.3,19.1,0.572,0.156,0.512,1
George Gervin,2584,76,34.0,"1984",4.1,2.9,1.7,25.9,0.551,0.102,0.451,1
Alex English,2870,82,35.0,"1984",5.7,5.0,2.2,26.4,0.57,0.136,0.463,1
Kiki Vandeweghe,2734,78,35.1,"1984",4.8,3.1,1.3,29.4,0.618,0.181,0.463,1
Ralph Sampson,2693,82,32.8,"1984",11.1,2.0,3.3,21.0,0.551,0.108,0.354,1
Jeff Ruland,3082,75,41.1,"1984",12.3,3.9,1.9,22.2,0.633,0.144,0.427,1
Kareem Abdul-Jabbar,2630,79,33.3,"1985",7.9,3.2,2.8,22.0,0.628,0.204,0.756,1
Magic Johnson,2781,77,36.1,"1985",6.2,12.6,1.8,18.3,0.637,0.22,0.756,1
Sidney Moncrief,2734,73,37.5,"1985",5.4,5.2,2.1,21.7,0.565,0.197,0.72,1
Terry Cummings,2722,79,34.5,"1985",9.1,2.9,2.3,23.6,0.536,0.189,0.72,1
Dennis Johnson,2976,80,37.2,"1985",4.0,6.8,1.7,15.7,0.522,0.103,0.768,1
Larry Bird,3161,80,39.5,"1985",10.5,6.6,2.8,28.7,0.585,0.238,0.768,1
Robert Parish,2850,79,36.1,"1985",10.6,1.6,2.0,17.6,0.586,0.151,0.768,1
Julius Erving,2535,78,32.5,"1985",5.3,3.0,3.1,20.0,0.546,0.144,0.707,1
Moses Malone,2957,79,37.4,"1985",13.1,1.6,2.4,24.6,0.577,0.193,0.707,1
Bill Laimbeer,2892,82,35.3,"1985",12.4,1.9,1.7,17.5,0.548,0.162,0.561,1
Isiah Thomas,3089,81,38.1,"1985",4.5,13.9,2.6,21.2,0.529,0.173,0.561,1
Alex English,2924,81,36.1,"1985",5.7,4.2,1.8,27.9,0.561,0.146,0.634,1
Calvin Natt,2657,78,34.1,"1985",7.8,3.1,1.4,23.3,0.604,0.185,0.634,1
Rolando Blackman,2834,81,35.0,"1985",3.7,3.6,1.0,19.7,0.566,0.123,0.537,1
Hakeem Olajuwon,2914,82,35.5,"1985",11.9,1.4,3.9,20.6,0.564,0.168,0.585,1
Ralph Sampson,3086,82,37.6,"1985",10.4,2.7,3.0,22.1,0.533,0.096,0.585,1
George Gervin,2091,72,29.0,"1985",3.3,2.5,1.6,21.2,0.564,0.106,0.5,1
Micheal Ray Richardson,3127,82,38.1,"1985",5.6,8.2,3.2,20.1,0.513,0.134,0.512,1
Adrian Dantley,1971,55,35.8,"1985",5.9,3.4,1.2,26.6,0.607,0.194,0.5,1
Jeff Ruland,1436,37,38.8,"1985",11.1,4.4,1.6,18.9,0.617,0.111,0.488,1
Michael Jordan,3144,82,38.3,"1985",6.5,5.9,3.2,28.2,0.592,0.213,0.463,1
Larry Nance,2202,61,36.1,"1985",8.8,2.6,3.1,19.9,0.612,0.173,0.439,1
Norm Nixon,2894,81,35.7,"1985",2.7,8.8,1.2,17.2,0.507,0.061,0.378,1
Bernard King,2063,55,37.5,"1985",5.8,3.7,1.6,32.9,0.585,0.166,0.293,1
Jack Sikma,2402,68,35.3,"1985",10.6,4.2,2.6,18.5,0.564,0.166,0.378,1
Kevin McHale,2397,68,35.3,"1986",8.1,2.7,2.4,21.3,0.623,0.22,0.817,1
Larry Bird,3113,82,38.0,"1986",9.8,6.8,2.6,25.8,0.58,0.244,0.817,1
Robert Parish,2567,81,31.7,"1986",9.5,1.8,2.2,16.1,0.586,0.171,0.817,1
Sidney Moncrief,2567,73,35.2,"1986",4.6,4.9,1.7,20.2,0.604,0.219,0.695,1
James Worthy,2454,75,32.7,"1986",5.2,2.7,2.1,20.0,0.613,0.185,0.756,1
Kareem Abdul-Jabbar,2629,79,33.3,"1986",6.1,3.5,2.5,23.4,0.603,0.197,0.756,1
Magic Johnson,2578,72,35.8,"1986",5.9,12.6,1.8,18.8,0.61,0.226,0.756,1
Hakeem Olajuwon,2467,68,36.3,"1986",11.5,2.0,5.4,23.5,0.56,0.186,0.622,1
Ralph Sampson,2864,79,36.3,"1986",11.1,3.6,2.9,18.9,0.516,0.084,0.622,1
Dominique Wilkins,3049,78,39.1,"1986",7.9,2.6,2.4,30.3,0.536,0.17,0.61,1
Charles Barkley,2952,80,36.9,"1986",12.8,3.9,3.7,20.0,0.619,0.176,0.659,1
Julius Erving,2474,74,33.4,"1986",5.0,3.4,2.6,18.1,0.537,0.114,0.659,1
Maurice Cheeks,3270,82,39.9,"1986",2.9,9.2,2.9,15.4,0.597,0.155,0.659,1
Moses Malone,2706,74,36.6,"1986",11.8,1.2,1.9,23.8,0.553,0.157,0.659,1
Alex English,3024,81,37.3,"1986",5.0,4.0,1.3,29.8,0.562,0.156,0.573,1
Rolando Blackman,2787,82,34.0,"1986",3.5,3.3,1.3,21.5,0.576,0.121,0.537,1
Isiah Thomas,2790,77,36.2,"1986",3.6,10.8,2.5,20.9,0.554,0.151,0.561,1
Clyde Drexler,2576,75,34.3,"1986",5.6,8.0,3.2,18.5,0.53,0.124,0.488,1
Adrian Dantley,2744,76,36.1,"1986",5.2,3.5,0.9,29.8,0.629,0.223,0.512,1
Alvin Robertson,2878,82,35.1,"1986",6.3,5.5,4.2,17.0,0.563,0.143,0.427,1
Artis Gilmore,2395,71,33.7,"1986",8.5,1.4,2.1,16.7,0.661,0.143,0.427,1
Jeff Malone,2992,80,37.4,"1986",3.6,2.4,1.0,22.4,0.533,0.098,0.476,1
Buck Williams,3070,82,37.4,"1986",12.0,1.6,2.1,15.9,0.565,0.106,0.476,1
Michael Jordan,451,18,25.1,"1986",3.6,2.9,3.2,22.7,0.533,0.16,0.366,1
Patrick Ewing,1771,50,35.4,"1986",9.0,2.0,3.1,20.0,0.526,0.084,0.28,1
Marques Johnson,2605,75,34.7,"1986",5.5,3.8,2.1,20.3,0.555,0.108,0.39,1
James Worthy,2819,82,34.4,"1987",5.7,2.8,2.3,19.4,0.578,0.158,0.793,1
Kareem Abdul-Jabbar,2441,78,31.3,"1987",6.7,2.6,1.9,17.5,0.597,0.148,0.793,1
Magic Johnson,2904,80,36.3,"1987",6.3,12.2,2.2,23.9,0.602,0.263,0.793,1
Dominique Wilkins,2969,79,37.6,"1987",6.3,3.3,2.1,29.0,0.543,0.197,0.695,1
Kevin McHale,3060,77,39.7,"1987",9.9,2.6,2.7,26.1,0.655,0.232,0.72,1
Larry Bird,3005,74,40.6,"1987",9.2,7.6,2.8,28.1,0.612,0.243,0.72,1
Robert Parish,2995,80,37.4,"1987",10.6,2.2,2.6,17.5,0.588,0.147,0.72,1
Mark Aguirre,2663,80,33.3,"1987",5.3,3.2,1.4,25.7,0.56,0.16,0.671,1
Rolando Blackman,2758,80,34.5,"1987",3.5,3.3,1.1,21.0,0.569,0.14,0.671,1
Bill Laimbeer,2854,82,34.8,"1987",11.6,1.8,1.7,15.4,0.559,0.176,0.634,1
Isiah Thomas,3013,81,37.2,"1987",3.9,10.0,2.1,20.6,0.528,0.121,0.634,1
Hakeem Olajuwon,2760,75,36.8,"1987",11.4,2.9,5.3,23.4,0.554,0.189,0.512,1
Ralph Sampson,1326,43,30.8,"1987",8.7,2.8,2.3,15.6,0.518,0.078,0.512,1
Michael Jordan,3281,82,40.0,"1987",5.2,4.6,4.4,37.1,0.562,0.247,0.488,1
Tom Chambers,3018,82,36.8,"1987",6.6,3.0,1.6,23.3,0.554,0.118,0.476,1
Charles Barkley,2740,68,40.3,"1987",14.6,4.9,3.3,23.0,0.66,0.21,0.549,1
Julius Erving,1918,60,32.0,"1987",4.4,3.2,2.8,16.8,0.527,0.088,0.549,1
Maurice Cheeks,2624,68,38.6,"1987",3.2,7.9,2.9,15.6,0.579,0.145,0.549,1
Alex English,3085,82,37.6,"1987",4.2,5.1,1.1,28.6,0.549,0.126,0.451,1
Fat Lever,3054,82,37.2,"1987",8.9,8.0,2.9,18.9,0.515,0.153,0.451,1
Jeff Malone,2763,80,34.5,"1987",2.7,3.7,1.1,22.0,0.518,0.097,0.512,1
Moses Malone,2488,73,34.1,"1987",11.3,1.6,2.1,24.1,0.545,0.182,0.512,1
Walter Davis,2646,79,33.5,"1987",3.1,4.6,1.3,23.6,0.562,0.105,0.439,1
Joe Barry Carroll,2724,81,33.6,"1987",7.3,2.6,2.7,21.2,0.521,0.082,0.512,1
Sleepy Floyd,3064,82,37.4,"1987",3.3,10.3,2.0,18.8,0.608,0.157,0.512,1
Alvin Robertson,2697,81,33.3,"1987",5.2,5.2,3.6,17.7,0.51,0.094,0.341,1
Danny Ainge,3018,81,37.3,"1988",3.1,6.2,1.6,15.7,0.598,0.136,0.695,1
Kevin McHale,2390,64,37.3,"1988",8.4,2.7,1.9,22.6,0.656,0.205,0.695,1
Larry Bird,2965,76,39.0,"1988",9.3,6.1,2.4,29.9,0.608,0.243,0.695,1
James Worthy,2655,75,35.4,"1988",5.0,3.9,1.7,19.7,0.571,0.143,0.756,1
Kareem Abdul-Jabbar,2308,80,28.9,"1988",6.0,1.7,1.8,14.6,0.57,0.111,0.756,1
Magic Johnson,2637,72,36.6,"1988",6.2,11.9,1.8,19.6,0.581,0.199,0.756,1
Isiah Thomas,2927,81,36.1,"1988",3.4,8.4,2.0,19.5,0.521,0.124,0.659,1
James Donaldson,2523,81,31.1,"1988",9.3,0.8,1.8,7.0,0.616,0.119,0.646,1
Mark Aguirre,2610,77,33.9,"1988",5.6,3.6,1.6,25.1,0.539,0.163,0.646,1
Clyde Drexler,3060,81,37.8,"1988",6.6,5.8,3.1,27.0,0.564,0.207,0.646,1
Steve Johnson,1050,43,24.4,"1988",5.6,1.3,1.1,15.4,0.554,0.058,0.646,1
Alex English,2818,80,35.2,"1988",4.7,4.7,1.2,25.0,0.535,0.129,0.659,1
Fat Lever,3061,82,37.3,"1988",8.1,7.8,3.0,18.9,0.516,0.163,0.659,1
