"Player","MP","G","MPG","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
Allen Iverson,3174,75,42.3,"2005",4.0,7.9,2.5,30.7,0.532,0.136,0.524,1
Grant Hill,2338,67,34.9,"2005",4.7,3.3,1.9,19.7,0.565,0.136,0.439,1
Kobe Bryant,2689,66,40.7,"2005",5.9,6.0,2.1,27.6,0.563,0.145,0.415,1
Tim Duncan,2784,80,34.8,"2006",11.0,3.2,2.9,18.6,0.523,0.187,0.768,1
Tony Parker,2715,80,33.9,"2006",3.3,5.8,1.1,18.9,0.584,0.169,0.768,1
Ben Wallace,2890,82,35.2,"2006",11.3,1.9,4.0,7.3,0.501,0.168,0.78,1
Chauncey Billups,2925,81,36.1,"2006",3.1,8.6,1.0,18.5,0.602,0.254,0.78,1
Rasheed Wallace,2780,80,34.8,"2006",6.8,2.3,2.7,15.1,0.527,0.154,0.78,1
Richard Hamilton,2825,80,35.3,"2006",3.2,3.4,0.9,20.1,0.553,0.13,0.78,1
Dirk Nowitzki,3089,81,38.1,"2006",9.0,2.8,1.7,26.6,0.589,0.275,0.732,1
Shawn Marion,3263,81,40.3,"2006",11.8,1.8,3.7,21.8,0.591,0.214,0.659,1
Steve Nash,2796,79,35.4,"2006",4.2,10.5,0.9,18.8,0.632,0.212,0.659,1
Pau Gasol,3135,80,39.2,"2006",8.9,4.6,2.5,20.4,0.555,0.184,0.598,1
Dwyane Wade,2892,75,38.6,"2006",5.7,6.7,2.7,27.2,0.577,0.239,0.634,1
Shaquille O'Neal,1806,59,30.6,"2006",9.2,1.9,2.2,20.0,0.586,0.164,0.634,1
Kobe Bryant,3277,80,41.0,"2006",5.3,4.5,2.2,35.4,0.559,0.224,0.549,1
LeBron James,3361,79,42.5,"2006",7.0,6.6,2.4,31.4,0.568,0.232,0.61,1
Jermaine O'Neal,1802,51,35.3,"2006",9.3,2.6,2.8,20.1,0.53,0.131,0.5,1
Gilbert Arenas,3384,80,42.3,"2006",3.5,6.1,2.3,29.3,0.581,0.193,0.512,1
Elton Brand,3099,79,39.2,"2006",10.0,2.6,3.6,24.7,0.58,0.229,0.573,1
Vince Carter,2906,79,36.8,"2006",5.8,4.3,1.9,24.2,0.536,0.153,0.598,1
Carmelo Anthony,2941,80,36.8,"2006",4.9,2.7,1.6,26.5,0.563,0.153,0.537,1
Tracy McGrady,1745,47,37.1,"2006",6.5,4.8,2.1,24.4,0.494,0.112,0.415,1
Yao Ming,1949,57,34.2,"2006",10.2,1.5,2.2,22.3,0.592,0.211,0.415,1
Paul Pierce,3084,79,39.0,"2006",6.7,4.7,1.8,26.8,0.582,0.178,0.402,1
Kevin Garnett,2957,76,38.9,"2006",12.7,4.1,2.8,21.8,0.589,0.242,0.402,1
Allen Iverson,3103,72,43.1,"2006",3.2,7.4,2.1,33.0,0.543,0.165,0.463,1
Chris Bosh,2751,70,39.3,"2006",9.2,2.6,1.8,22.5,0.585,0.17,0.329,1
Ray Allen,3022,78,38.7,"2006",4.3,3.7,1.6,25.1,0.59,0.15,0.427,1
Tim Duncan,2726,80,34.1,"2007",10.6,3.4,3.2,20.0,0.579,0.23,0.707,1
Tony Parker,2499,77,32.5,"2007",3.2,5.5,1.1,18.6,0.572,0.185,0.707,1
Dirk Nowitzki,2820,78,36.2,"2007",8.9,3.4,1.5,24.6,0.605,0.278,0.817,1
Josh Howard,2455,70,35.1,"2007",6.8,1.8,2.0,18.9,0.548,0.173,0.817,1
Amar'e Stoudemire,2689,82,32.8,"2007",9.6,1.0,2.3,20.4,0.637,0.201,0.744,1
Shawn Marion,3010,80,37.6,"2007",9.8,1.7,3.5,17.5,0.594,0.191,0.744,1
Steve Nash,2682,76,35.3,"2007",3.5,11.6,0.8,18.6,0.654,0.225,0.744,1
Tracy McGrady,2539,71,35.8,"2007",5.3,6.5,1.8,24.6,0.515,0.163,0.634,1
Yao Ming,1624,48,33.8,"2007",9.4,2.0,2.3,25.0,0.601,0.22,0.634,1
Chauncey Billups,2533,70,36.2,"2007",3.4,7.2,1.4,17.0,0.591,0.216,0.646,1
Richard Hamilton,2763,75,36.8,"2007",3.8,3.8,1.0,19.8,0.551,0.141,0.646,1
LeBron James,3190,78,40.9,"2007",6.7,6.0,2.3,27.3,0.552,0.206,0.61,1
Carlos Boozer,2557,74,34.6,"2007",11.7,3.0,1.2,20.9,0.588,0.185,0.622,1
Mehmet Okur,2664,80,33.3,"2007",7.2,2.0,0.9,17.6,0.571,0.158,0.622,1
Carmelo Anthony,2486,65,38.2,"2007",6.0,3.8,1.5,28.9,0.552,0.14,0.549,1
Chris Bosh,2658,69,38.5,"2007",10.7,2.5,1.9,22.6,0.577,0.174,0.573,1
Dwight Howard,3023,82,36.9,"2007",12.3,1.9,2.8,17.6,0.619,0.154,0.488,1
Kobe Bryant,3140,77,40.8,"2007",5.7,5.4,1.9,31.6,0.58,0.199,0.512,1
Caron Butler,2474,63,39.3,"2007",7.4,3.7,2.4,19.1,0.537,0.103,0.5,1
Gilbert Arenas,2942,74,39.8,"2007",4.6,6.0,2.1,28.4,0.565,0.177,0.5,1
Jason Kidd,2933,80,36.7,"2007",8.2,9.2,1.9,13.0,0.516,0.152,0.5,1
Vince Carter,3126,82,38.1,"2007",6.0,4.8,1.4,25.2,0.559,0.161,0.5,1
Dwyane Wade,1931,51,37.9,"2007",4.7,7.5,3.3,27.4,0.583,0.219,0.537,1
Shaquille O'Neal,1135,40,28.4,"2007",7.4,2.0,1.6,17.3,0.567,0.119,0.537,1
Jermaine O'Neal,2459,69,35.6,"2007",9.6,2.4,3.4,19.4,0.5,0.091,0.427,1
Ray Allen,2219,55,40.3,"2007",4.5,4.1,1.7,26.4,0.564,0.136,0.378,1
Kevin Garnett,2995,76,39.4,"2007",12.8,4.1,2.8,22.4,0.546,0.171,0.39,1
Joe Johnson,2359,57,41.4,"2007",4.2,4.4,1.2,25.0,0.558,0.105,0.366,1
Kevin Garnett,2328,71,32.8,"2008",9.2,3.4,2.7,18.8,0.588,0.265,0.805,1
Paul Pierce,2874,80,35.9,"2008",5.1,4.5,1.7,19.6,0.599,0.207,0.805,1
Ray Allen,2624,73,35.9,"2008",3.7,3.1,1.1,17.4,0.584,0.177,0.805,1
Chauncey Billups,2522,78,32.3,"2008",2.7,6.8,1.5,17.0,0.619,0.257,0.72,1
Rasheed Wallace,2346,77,30.5,"2008",6.6,1.8,2.9,12.7,0.523,0.155,0.72,1
Richard Hamilton,2424,72,33.7,"2008",3.3,4.2,1.2,17.3,0.552,0.152,0.72,1
Kobe Bryant,3192,82,38.9,"2008",6.3,5.4,2.3,28.3,0.576,0.208,0.695,1
Carlos Boozer,2827,81,34.9,"2008",10.4,2.9,1.7,21.1,0.581,0.173,0.659,1
Deron Williams,3059,82,37.3,"2008",3.0,10.5,1.4,18.8,0.595,0.177,0.659,1
Dwight Howard,3088,82,37.7,"2008",14.2,1.3,3.0,20.7,0.619,0.2,0.634,1
Chris Paul,3006,80,37.6,"2008",4.0,11.6,2.8,21.1,0.576,0.284,0.683,1
David West,2870,76,37.8,"2008",8.9,2.3,2.1,20.6,0.535,0.14,0.683,1
Tim Duncan,2651,78,34.0,"2008",11.3,2.8,2.7,19.3,0.546,0.201,0.683,1
Tracy McGrady,2440,66,37.0,"2008",5.1,5.9,1.5,21.6,0.487,0.115,0.671,1
Yao Ming,2044,55,37.2,"2008",10.8,2.3,2.5,22.0,0.587,0.196,0.671,1
Amar'e Stoudemire,2677,79,33.9,"2008",9.1,1.5,2.9,25.2,0.656,0.262,0.671,1
Steve Nash,2780,81,34.3,"2008",3.5,11.1,0.7,16.9,0.641,0.181,0.671,1
Dirk Nowitzki,2769,77,36.0,"2008",8.6,3.5,1.6,23.6,0.585,0.223,0.622,1
Allen Iverson,3424,82,41.8,"2008",3.0,7.1,2.1,26.4,0.567,0.163,0.61,1
Carmelo Anthony,2806,77,36.4,"2008",7.4,3.4,1.8,25.7,0.568,0.14,0.61,1
Chris Bosh,2425,67,36.2,"2008",8.7,2.6,1.9,22.3,0.588,0.2,0.5,1
Antawn Jamison,3061,79,38.7,"2008",10.2,1.5,1.8,21.4,0.525,0.144,0.524,1
Caron Butler,2314,58,39.9,"2008",6.7,4.9,2.6,20.3,0.558,0.15,0.524,1
LeBron James,3027,75,40.4,"2008",7.9,7.2,2.9,30.0,0.568,0.242,0.549,1
Brandon Roy,2792,74,37.7,"2008",4.7,5.8,1.3,19.1,0.531,0.138,0.5,1
Joe Johnson,3343,82,40.8,"2008",4.5,5.8,1.2,21.7,0.535,0.1,0.451,1
Dwyane Wade,1954,51,38.3,"2008",4.2,6.9,2.4,24.6,0.549,0.082,0.183,1
LeBron James,3054,81,37.7,"2009",7.6,7.2,2.8,28.4,0.591,0.318,0.805,1
Mo Williams,2834,81,35.0,"2009",3.4,4.1,1.0,17.8,0.588,0.165,0.805,1
Kevin Garnett,1772,57,31.1,"2009",8.5,2.5,2.3,15.8,0.563,0.193,0.756,1
Paul Pierce,3035,81,37.5,"2009",5.6,3.6,1.3,20.5,0.582,0.164,0.756,1
Ray Allen,2876,79,36.4,"2009",3.5,2.8,1.0,18.2,0.624,0.186,0.756,1
Kobe Bryant,2960,82,36.1,"2009",5.2,4.9,1.9,26.8,0.561,0.206,0.793,1
Pau Gasol,2999,81,37.0,"2009",9.6,3.5,1.6,18.9,0.617,0.223,0.793,1
Dwight Howard,2821,79,35.7,"2009",13.8,1.4,3.9,20.6,0.6,0.234,0.72,1
Jameer Nelson,1309,42,31.2,"2009",3.5,5.4,1.3,16.7,0.612,0.22,0.72,1
Rashard Lewis,2859,79,36.2,"2009",5.7,2.6,1.7,17.7,0.58,0.16,0.72,1
Brandon Roy,2903,78,37.2,"2009",4.7,5.1,1.4,22.6,0.573,0.223,0.659,1
Yao Ming,2589,77,33.6,"2009",9.9,1.8,2.3,19.7,0.618,0.196,0.646,1
Tim Duncan,2524,75,33.7,"2009",10.7,3.5,2.2,19.3,0.549,0.191,0.659,1
Tony Parker,2456,72,34.1,"2009",3.1,6.9,1.0,22.0,0.556,0.168,0.659,1
Carmelo Anthony,2277,66,34.5,"2009",6.8,3.4,1.5,22.8,0.532,0.105,0.659,1
Dirk Nowitzki,3050,81,37.7,"2009",8.4,2.4,1.5,25.9,0.564,0.171,0.61,1
Amar'e Stoudemire,1948,53,36.8,"2009",8.1,2.0,2.0,21.4,0.617,0.149,0.561,1
Shaquille O'Neal,2252,75,30.0,"2009",8.4,1.7,2.1,17.8,0.623,0.166,0.561,1
Joe Johnson,3124,79,39.5,"2009",4.4,5.8,1.3,21.4,0.534,0.116,0.573,1
Chris Paul,3002,78,38.5,"2009",5.5,11.0,2.9,22.8,0.599,0.292,0.598,1
David West,2982,76,39.2,"2009",8.5,2.3,1.5,21.0,0.54,0.125,0.598,1
Dwyane Wade,3048,79,38.6,"2009",5.0,7.5,3.5,30.2,0.574,0.232,0.524,1
Danny Granger,2424,67,36.2,"2009",5.1,2.7,2.5,25.8,0.584,0.158,0.439,1
Devin Harris,2494,69,36.1,"2009",3.3,6.9,1.8,21.3,0.563,0.145,0.415,1
Chris Bosh,2928,77,38.0,"2009",10.0,2.5,1.9,22.7,0.569,0.159,0.402,1
Dwight Howard,2843,82,34.7,"2010",13.2,1.8,3.7,18.3,0.63,0.223,0.72,1
LeBron James,2966,76,39.0,"2010",7.3,8.6,2.7,29.7,0.604,0.299,0.744,1
Deron Williams,2802,76,36.9,"2010",4.0,10.5,1.5,18.7,0.574,0.177,0.646,1
Tim Duncan,2438,78,31.3,"2010",10.1,3.2,2.1,17.9,0.56,0.215,0.61,1
Al Horford,2845,81,35.1,"2010",9.9,2.3,1.9,14.2,0.594,0.183,0.646,1
Joe Johnson,2886,76,38.0,"2010",4.6,4.9,1.1,21.3,0.538,0.14,0.646,1
Amar'e Stoudemire,2838,82,34.6,"2010",8.9,1.0,1.6,23.1,0.615,0.181,0.659,1
Steve Nash,2660,81,32.8,"2010",3.3,11.0,0.7,16.5,0.615,0.178,0.659,1
Kobe Bryant,2835,73,38.8,"2010",5.4,5.0,1.8,27.0,0.545,0.16,0.695,1
Pau Gasol,2403,65,37.0,"2010",11.3,3.4,2.3,18.3,0.593,0.22,0.695,1
Carmelo Anthony,2634,69,38.2,"2010",6.6,3.2,1.7,28.2,0.548,0.145,0.646,1
Chauncey Billups,2490,73,34.1,"2010",3.1,5.6,1.2,19.5,0.601,0.182,0.646,1
Kevin Garnett,2060,69,29.9,"2010",7.3,2.7,1.8,14.3,0.569,0.171,0.61,1
Paul Pierce,2411,71,34.0,"2010",4.4,3.1,1.6,18.3,0.613,0.165,0.61,1
Rajon Rondo,2963,81,36.6,"2010",4.4,9.8,2.5,13.7,0.54,0.156,0.61,1
Brandon Roy,2419,65,37.2,"2010",4.4,4.7,1.2,21.5,0.568,0.18,0.61,1
Kevin Durant,3239,82,39.5,"2010",7.6,2.8,2.4,30.1,0.607,0.238,0.61,1
Dirk Nowitzki,3039,81,37.5,"2010",7.7,2.7,1.8,25.0,0.578,0.194,0.671,1
Jason Kidd,2881,80,36.0,"2010",5.6,9.1,2.3,10.3,0.577,0.148,0.671,1
Dwyane Wade,2792,77,36.3,"2010",4.8,6.5,2.9,26.6,0.562,0.224,0.573,1
Andrew Bogut,2229,69,32.3,"2010",10.2,1.8,3.1,15.9,0.54,0.161,0.561,1
Gerald Wallace,3119,76,41.0,"2010",10.0,2.1,2.6,18.2,0.586,0.177,0.537,1
Zach Randolph,3051,81,37.7,"2010",11.7,1.8,1.4,20.8,0.546,0.153,0.488,1
Derrick Rose,2871,78,36.8,"2010",3.8,6.0,1.1,20.8,0.532,0.1,0.5,1
Chris Bosh,2526,70,36.1,"2010",10.8,2.4,1.6,24.0,0.592,0.182,0.488,1
Chris Paul,1712,45,38.0,"2010",4.2,10.7,2.3,18.7,0.584,0.204,0.451,1
David Lee,3019,81,37.3,"2010",11.7,3.6,1.5,20.2,0.584,0.163,0.354,1
Chris Kaman,2608,76,34.3,"2010",9.3,1.6,1.7,18.5,0.527,0.044,0.354,1
Chris Bosh,2795,77,36.3,"2011",8.3,1.9,1.4,18.7,0.569,0.177,0.707,1
Dwyane Wade,2823,76,37.1,"2011",6.4,4.6,2.6,25.5,0.581,0.218,0.707,1
LeBron James,3063,79,38.8,"2011",7.5,7.0,2.2,26.7,0.594,0.244,0.707,1
Derrick Rose,3026,81,37.4,"2011",4.1,7.7,1.7,25.0,0.55,0.208,0.756,1
Kobe Bryant,2779,82,33.9,"2011",5.1,4.7,1.4,25.3,0.548,0.178,0.695,1
Pau Gasol,3037,82,37.0,"2011",10.2,3.3,2.2,18.8,0.589,0.232,0.695,1
Manu Ginobili,2426,80,30.3,"2011",3.7,4.9,1.9,17.4,0.581,0.195,0.744,1
Tim Duncan,2156,76,28.4,"2011",8.9,2.7,2.6,13.4,0.537,0.171,0.744,1
Kevin Garnett,2220,71,31.3,"2011",8.9,2.4,2.1,14.9,0.575,0.194,0.683,1
Paul Pierce,2774,80,34.7,"2011",5.4,3.3,1.6,18.9,0.62,0.201,0.683,1
Rajon Rondo,2527,68,37.2,"2011",4.4,11.2,2.4,10.6,0.495,0.126,0.683,1
Ray Allen,2890,80,36.1,"2011",3.4,2.7,1.2,16.5,0.615,0.166,0.683,1
Dwight Howard,2935,78,37.6,"2011",14.1,1.4,3.8,22.9,0.616,0.235,0.634,1
Dirk Nowitzki,2504,73,34.3,"2011",7.0,2.6,1.2,23.0,0.612,0.213,0.695,1
Kevin Durant,3038,78,38.9,"2011",6.8,2.7,2.1,27.7,0.589,0.189,0.671,1
Russell Westbrook,2847,82,34.7,"2011",4.6,8.2,2.3,21.9,0.538,0.159,0.671,1
Zach Randolph,2724,75,36.3,"2011",12.2,2.2,1.2,20.1,0.552,0.185,0.561,1
Yao Ming,91,5,18.2,"2011",5.4,0.8,1.6,10.2,0.579,0.147,0.524,1
LaMarcus Aldridge,3211,81,39.6,"2011",8.8,2.1,2.2,21.8,0.549,0.166,0.585,1
Chris Paul,2880,80,36.0,"2011",4.1,9.8,2.4,15.9,0.578,0.232,0.561,1
Amar'e Stoudemire,2870,78,36.8,"2011",8.2,2.6,2.8,25.3,0.565,0.134,0.512,1
Al Horford,2704,77,35.1,"2011",9.3,3.5,1.8,15.3,0.587,0.179,0.537,1
Joe Johnson,2554,72,35.5,"2011",4.0,4.7,0.8,18.2,0.517,0.08,0.537,1
Blake Griffin,3112,82,38.0,"2011",12.1,3.8,1.3,22.5,0.549,0.152,0.39,1
Kevin Love,2611,73,35.8,"2011",15.2,2.5,1.0,20.2,0.593,0.21,0.207,1
Derrick Rose,1375,39,35.3,"2012",3.4,7.9,1.6,21.8,0.532,0.211,0.758,1
Luol Deng,2129,54,39.4,"2012",6.5,2.9,1.7,15.3,0.5,0.132,0.758,1
Tony Parker,1923,60,32.1,"2012",2.9,7.7,1.0,18.3,0.539,0.177,0.758,1
Kevin Durant,2546,66,38.6,"2012",8.0,3.5,2.5,28.0,0.61,0.23,0.712,1
Russell Westbrook,2331,66,35.3,"2012",4.6,5.5,2.0,23.6,0.538,0.163,0.712,1
Chris Bosh,2007,57,35.2,"2012",7.9,1.8,1.7,18.0,0.551,0.165,0.697,1
Dwyane Wade,1625,49,33.2,"2012",4.8,4.6,3.0,22.1,0.559,0.227,0.697,1
LeBron James,2326,62,37.5,"2012",7.9,6.2,2.7,27.1,0.605,0.298,0.697,1
Andre Iguodala,2209,62,35.6,"2012",6.1,5.5,2.2,12.4,0.537,0.158,0.53,1
Joe Johnson,2127,60,35.5,"2012",3.7,3.9,1.0,18.8,0.557,0.145,0.606,1
Roy Hibbert,1937,65,29.8,"2012",8.8,1.7,2.5,12.8,0.539,0.154,0.636,1
Carmelo Anthony,1876,55,34.1,"2012",6.3,3.6,1.6,22.6,0.525,0.16,0.545,1
Tyson Chandler,2061,62,33.2,"2012",9.9,0.9,2.3,11.3,0.708,0.22,0.545,1
Paul Pierce,2075,61,34.0,"2012",5.2,4.5,1.6,19.4,0.567,0.161,0.591,1
Rajon Rondo,1957,53,36.9,"2012",4.8,11.7,1.8,11.9,0.483,0.121,0.591,1
Blake Griffin,2392,66,36.2,"2012",10.9,3.2,1.5,20.7,0.557,0.185,0.606,1
Chris Paul,2181,60,36.4,"2012",3.6,9.1,2.6,19.8,0.581,0.278,0.606,1
Marc Gasol,2370,65,36.5,"2012",8.9,3.1,2.8,14.6,0.541,0.166,0.621,1
Andrew Bynum,2112,60,35.2,"2012",11.8,1.4,2.4,18.7,0.594,0.183,0.621,1
Kobe Bryant,2232,58,38.5,"2012",5.4,4.6,1.5,27.9,0.527,0.132,0.621,1
Dirk Nowitzki,2079,62,33.5,"2012",6.7,2.2,1.2,21.6,0.564,0.175,0.545,1
Dwight Howard,2070,54,38.3,"2012",14.5,1.9,3.6,20.6,0.569,0.179,0.561,1
Steve Nash,1961,62,31.6,"2012",3.0,10.7,0.7,12.5,0.625,0.144,0.5,1
LaMarcus Aldridge,1994,55,36.3,"2012",8.0,2.4,1.7,21.7,0.56,0.169,0.424,1
Kevin Love,2145,55,39.0,"2012",13.3,2.0,1.4,26.0,0.568,0.223,0.394,1
Deron Williams,1999,55,36.3,"2012",3.3,8.7,1.6,21.0,0.527,0.099,0.333,1
Kevin Durant,3119,81,38.5,"2013",7.9,4.6,2.7,28.1,0.647,0.291,0.732,1
Russell Westbrook,2861,82,34.9,"2013",5.2,7.4,2.1,23.2,0.532,0.195,0.732,1
Chris Bosh,2454,74,33.2,"2013",6.8,1.7,2.3,16.6,0.592,0.175,0.805,1
Dwyane Wade,2391,69,34.7,"2013",5.0,5.1,2.7,21.2,0.571,0.192,0.805,1
LeBron James,2877,76,37.9,"2013",8.0,7.3,2.6,26.8,0.64,0.322,0.805,1
Blake Griffin,2598,80,32.5,"2013",8.3,3.7,1.8,18.0,0.572,0.196,0.683,1
Chris Paul,2335,70,33.4,"2013",3.7,9.7,2.6,16.9,0.594,0.287,0.683,1
Tim Duncan,2078,69,30.1,"2013",9.9,2.7,3.4,17.8,0.554,0.191,0.707,1
Tony Parker,2174,66,32.9,"2013",3.0,7.6,0.9,20.3,0.588,0.206,0.707,1
Carmelo Anthony,2482,67,37.0,"2013",6.9,2.6,1.3,28.7,0.56,0.184,0.659,1
Tyson Chandler,2164,66,32.8,"2013",10.7,0.9,1.8,10.4,0.671,0.207,0.659,1
Marc Gasol,2796,80,35.0,"2013",7.8,4.0,2.7,14.1,0.559,0.197,0.683,1
Zach Randolph,2607,76,34.3,"2013",11.2,1.4,1.2,15.4,0.506,0.145,0.683,1
Paul George,2972,79,37.6,"2013",7.6,4.1,2.5,17.4,0.531,0.145,0.605,1
James Harden,2985,78,38.3,"2013",4.9,5.8,2.3,25.9,0.6,0.206,0.549,1
Brook Lopez,2253,74,30.4,"2013",6.9,0.9,2.5,19.4,0.567,0.191,0.598,1
Dwight Howard,2722,76,35.8,"2013",12.4,1.4,3.6,17.1,0.573,0.134,0.549,1
Kobe Bryant,3013,78,38.6,"2013",5.6,6.0,1.7,27.3,0.57,0.174,0.549,1
David Lee,2907,79,36.8,"2013",11.2,3.5,1.1,18.5,0.561,0.15,0.573,1
Joakim Noah,2426,66,36.8,"2013",11.1,4.0,3.3,11.9,0.534,0.145,0.549,1
Luol Deng,2903,75,38.7,"2013",6.3,3.0,1.5,16.5,0.508,0.105,0.549,1
Kevin Garnett,2022,68,29.7,"2013",7.8,2.3,2.1,14.8,0.535,0.133,0.506,1
Rajon Rondo,1423,38,37.4,"2013",5.6,11.1,2.1,13.7,0.516,0.108,0.506,1
LaMarcus Aldridge,2790,74,37.7,"2013",9.1,2.6,2.1,21.1,0.53,0.124,0.402,1
Jrue Holiday,2926,78,37.5,"2013",4.2,8.0,2.0,17.7,0.496,0.055,0.415,1
Kyrie Irving,2048,59,34.7,"2013",3.7,5.9,1.9,22.5,0.553,0.125,0.293,1
Tony Parker,1997,68,29.4,"2014",2.3,5.7,0.7,16.7,0.555,0.141,0.756,1
Blake Griffin,2863,80,35.8,"2014",9.5,3.9,1.8,24.1,0.583,0.205,0.695,1
