"Player","Year","Age","RPG","APG","SPG","BPG","TOPG","PPG","TS","3PAr","FTr","WS48","Perc","allstarFlag","allNBAFlag"
Shaquille O'Neal,"2009",36,8.4,1.7,0.7,1.4,2.2,17.8,0.623,0.001,0.617,0.166,0.561,1,1
Chris Paul,"2009",23,5.5,11.0,2.8,0.1,3.0,22.8,0.599,0.14,0.418,0.292,0.598,1,1
Dwyane Wade,"2009",27,5.0,7.5,2.2,1.3,3.4,30.2,0.574,0.16,0.443,0.232,0.524,1,1
Dwight Howard,"2010",24,13.2,1.8,0.9,2.8,3.3,18.3,0.63,0.008,0.978,0.223,0.72,1,1
LeBron James,"2010",25,7.3,8.6,1.6,1.0,3.4,29.7,0.604,0.253,0.506,0.299,0.744,1,1
Tim Duncan,"2010",33,10.1,3.2,0.6,1.5,1.8,17.9,0.56,0.01,0.346,0.215,0.61,1,1
Joe Johnson,"2010",28,4.6,4.9,1.1,0.1,1.9,21.3,0.538,0.253,0.194,0.14,0.646,1,1
Amar'e Stoudemire,"2010",27,8.9,1.0,0.6,1.0,2.6,23.1,0.615,0.005,0.5,0.181,0.659,1,1
Steve Nash,"2010",35,3.3,11.0,0.5,0.1,3.6,16.5,0.615,0.295,0.228,0.178,0.659,1,1
Kobe Bryant,"2010",31,5.4,5.0,1.5,0.3,3.2,27.0,0.545,0.192,0.345,0.16,0.695,1,1
Pau Gasol,"2010",29,11.3,3.4,0.6,1.7,2.2,18.3,0.593,0.006,0.429,0.22,0.695,1,1
Carmelo Anthony,"2010",25,6.6,3.2,1.3,0.4,3.0,28.2,0.548,0.125,0.407,0.145,0.646,1,1
Brandon Roy,"2010",25,4.4,4.7,0.9,0.2,2.0,21.5,0.568,0.213,0.424,0.18,0.61,1,1
Kevin Durant,"2010",21,7.6,2.8,1.4,1.0,3.3,30.1,0.607,0.21,0.504,0.238,0.61,1,1
Dirk Nowitzki,"2010",31,7.7,2.7,0.9,1.0,1.8,25.0,0.578,0.081,0.392,0.194,0.671,1,1
Dwyane Wade,"2010",28,4.8,6.5,1.8,1.1,3.3,26.6,0.562,0.161,0.465,0.224,0.573,1,1
Dwyane Wade,"2011",29,6.4,4.6,1.5,1.1,3.1,25.5,0.581,0.149,0.471,0.218,0.707,1,1
LeBron James,"2011",26,7.5,7.0,1.6,0.6,3.6,26.7,0.594,0.188,0.446,0.244,0.707,1,1
Derrick Rose,"2011",22,4.1,7.7,1.0,0.6,3.4,25.0,0.55,0.241,0.348,0.208,0.756,1,1
Kobe Bryant,"2011",32,5.1,4.7,1.2,0.1,3.0,25.3,0.548,0.217,0.356,0.178,0.695,1,1
Pau Gasol,"2011",30,10.2,3.3,0.6,1.6,1.7,18.8,0.589,0.003,0.384,0.232,0.695,1,1
Dwight Howard,"2011",25,14.1,1.4,1.4,2.4,3.6,22.9,0.616,0.007,0.877,0.235,0.634,1,1
Dirk Nowitzki,"2011",32,7.0,2.6,0.5,0.6,1.9,23.0,0.612,0.142,0.376,0.213,0.695,1,1
Kevin Durant,"2011",22,6.8,2.7,1.1,1.0,2.8,27.7,0.589,0.269,0.439,0.189,0.671,1,1
Russell Westbrook,"2011",22,4.6,8.2,1.9,0.4,3.9,21.9,0.538,0.074,0.454,0.159,0.671,1,1
Chris Paul,"2011",25,4.1,9.8,2.4,0.1,2.2,15.9,0.578,0.197,0.414,0.232,0.561,1,1
Amar'e Stoudemire,"2011",28,8.2,2.6,0.9,1.9,3.2,25.3,0.565,0.016,0.403,0.134,0.512,1,1
Al Horford,"2011",24,9.3,3.5,0.8,1.0,1.5,15.3,0.587,0.004,0.204,0.179,0.537,1,1
Tony Parker,"2012",29,2.9,7.7,1.0,0.1,2.6,18.3,0.539,0.069,0.319,0.177,0.758,1,1
Kevin Durant,"2012",23,8.0,3.5,1.3,1.2,3.8,28.0,0.61,0.265,0.386,0.23,0.712,1,1
Russell Westbrook,"2012",23,4.6,5.5,1.7,0.3,3.6,23.6,0.538,0.155,0.326,0.163,0.712,1,1
Dwyane Wade,"2012",30,4.8,4.6,1.7,1.3,2.6,22.1,0.559,0.067,0.355,0.227,0.697,1,1
LeBron James,"2012",27,7.9,6.2,1.9,0.8,3.4,27.1,0.605,0.127,0.429,0.298,0.697,1,1
Carmelo Anthony,"2012",27,6.3,3.6,1.1,0.4,2.6,22.6,0.525,0.198,0.358,0.16,0.545,1,1
Rajon Rondo,"2012",25,4.8,11.7,1.8,0.1,3.6,11.9,0.483,0.073,0.316,0.121,0.591,1,1
Blake Griffin,"2012",22,10.9,3.2,0.8,0.7,2.3,20.7,0.557,0.016,0.458,0.185,0.606,1,1
Chris Paul,"2012",26,3.6,9.1,2.5,0.1,2.1,19.8,0.581,0.239,0.339,0.278,0.606,1,1
Andrew Bynum,"2012",24,11.8,1.4,0.5,1.9,2.5,18.7,0.594,0.006,0.425,0.183,0.621,1,1
Kobe Bryant,"2012",33,5.4,4.6,1.2,0.3,3.5,27.9,0.527,0.215,0.338,0.132,0.621,1,1
Dirk Nowitzki,"2012",33,6.7,2.2,0.7,0.5,1.9,21.6,0.564,0.205,0.343,0.175,0.545,1,1
Dwight Howard,"2012",26,14.5,1.9,1.5,2.1,3.2,20.6,0.569,0.01,0.788,0.179,0.561,1,1
Kevin Love,"2012",23,13.3,2.0,0.9,0.5,2.3,26.0,0.568,0.266,0.434,0.223,0.394,1,1
Kevin Durant,"2013",24,7.9,4.6,1.4,1.3,3.5,28.1,0.647,0.233,0.523,0.291,0.732,1,1
Russell Westbrook,"2013",24,5.2,7.4,1.8,0.3,3.3,23.2,0.532,0.195,0.375,0.195,0.732,1,1
Dwyane Wade,"2013",31,5.0,5.1,1.9,0.8,2.8,21.2,0.571,0.06,0.389,0.192,0.805,1,1
LeBron James,"2013",28,8.0,7.3,1.7,0.9,3.0,26.8,0.64,0.188,0.395,0.322,0.805,1,1
Blake Griffin,"2013",23,8.3,3.7,1.2,0.6,2.3,18.0,0.572,0.026,0.397,0.196,0.683,1,1
Chris Paul,"2013",27,3.7,9.7,2.4,0.1,2.3,16.9,0.594,0.271,0.377,0.287,0.683,1,1
Tim Duncan,"2013",36,9.9,2.7,0.7,2.7,2.1,17.8,0.554,0.007,0.307,0.191,0.707,1,1
Tony Parker,"2013",30,3.0,7.6,0.8,0.1,2.6,20.3,0.588,0.068,0.332,0.206,0.707,1,1
Carmelo Anthony,"2013",28,6.9,2.6,0.8,0.5,2.6,28.7,0.56,0.278,0.344,0.184,0.659,1,1
Paul George,"2013",22,7.6,4.1,1.8,0.6,2.9,17.4,0.531,0.399,0.233,0.145,0.605,1,1
James Harden,"2013",23,4.9,5.8,1.8,0.5,3.8,25.9,0.6,0.364,0.592,0.206,0.549,1,1
Dwight Howard,"2013",27,12.4,1.4,1.1,2.4,3.0,17.1,0.573,0.007,0.887,0.134,0.549,1,1
Kobe Bryant,"2013",34,5.6,6.0,1.4,0.3,3.7,27.3,0.57,0.255,0.392,0.174,0.549,1,1
David Lee,"2013",29,11.2,3.5,0.8,0.3,2.6,18.5,0.561,0.003,0.276,0.15,0.573,1,1
Tony Parker,"2014",31,2.3,5.7,0.5,0.1,2.2,16.7,0.555,0.073,0.266,0.141,0.756,1,1
Blake Griffin,"2014",24,9.5,3.9,1.2,0.6,2.8,24.1,0.583,0.032,0.496,0.205,0.695,1,1
Chris Paul,"2014",28,4.3,10.7,2.5,0.1,2.3,19.1,0.58,0.244,0.397,0.27,0.695,1,1
Kevin Durant,"2014",25,7.4,5.5,1.3,0.7,3.5,32.0,0.635,0.291,0.477,0.295,0.72,1,1
LeBron James,"2014",29,6.9,6.3,1.6,0.3,3.5,27.1,0.649,0.226,0.432,0.264,0.659,1,1
Stephen Curry,"2014",25,4.3,8.5,1.6,0.2,3.8,24.0,0.61,0.445,0.252,0.225,0.622,1,1
Paul George,"2014",23,6.8,3.5,1.9,0.3,2.8,21.7,0.555,0.367,0.341,0.178,0.683,1,1
Dwight Howard,"2014",28,12.2,1.8,0.8,1.8,3.2,18.3,0.6,0.009,0.798,0.161,0.659,1,1
James Harden,"2014",24,4.7,6.1,1.6,0.4,3.6,25.4,0.618,0.401,0.552,0.221,0.659,1,1
Damian Lillard,"2014",23,3.5,5.6,0.8,0.3,2.4,20.7,0.568,0.425,0.327,0.157,0.659,1,1
LaMarcus Aldridge,"2014",28,11.1,2.6,0.9,1.0,1.8,23.2,0.507,0.011,0.253,0.144,0.659,1,1
Kevin Love,"2014",25,12.5,4.4,0.8,0.5,2.5,26.1,0.591,0.355,0.445,0.245,0.488,1,1
Joakim Noah,"2014",28,11.3,5.4,1.2,1.5,2.4,12.6,0.531,0.003,0.419,0.19,0.585,1,1
Klay Thompson,"2015",24,3.2,2.9,1.1,0.8,1.9,21.7,0.591,0.42,0.197,0.172,0.817,1,1
Stephen Curry,"2015",26,4.3,7.7,2.0,0.2,3.1,23.8,0.638,0.482,0.251,0.288,0.817,1,1
Blake Griffin,"2015",25,7.6,5.3,0.9,0.5,2.3,21.9,0.551,0.022,0.373,0.183,0.683,1,1
Chris Paul,"2015",29,4.6,10.2,1.9,0.2,2.3,19.1,0.596,0.298,0.274,0.27,0.683,1,1
Tim Duncan,"2015",38,9.1,3.0,0.8,2.0,1.7,13.9,0.56,0.009,0.38,0.207,0.671,1,1
Kyrie Irving,"2015",22,3.2,5.2,1.5,0.3,2.5,21.7,0.583,0.306,0.296,0.183,0.646,1,1
LeBron James,"2015",30,6.0,7.4,1.6,0.7,3.9,25.3,0.577,0.265,0.413,0.199,0.646,1,1
LaMarcus Aldridge,"2015",29,10.2,1.7,0.7,1.0,1.7,23.4,0.528,0.074,0.256,0.165,0.622,1,1
James Harden,"2015",25,5.7,7.0,1.9,0.7,4.0,27.4,0.605,0.378,0.561,0.265,0.683,1,1
Marc Gasol,"2015",30,7.8,3.8,0.9,1.6,2.2,17.4,0.558,0.016,0.41,0.182,0.671,1,1
Pau Gasol,"2015",34,11.8,2.7,0.3,1.9,2.0,18.5,0.55,0.023,0.317,0.187,0.61,1,1
Russell Westbrook,"2015",26,7.3,8.6,2.1,0.2,4.4,28.1,0.536,0.196,0.445,0.222,0.549,1,1
Anthony Davis,"2015",21,10.2,2.2,1.5,2.9,1.4,24.4,0.591,0.01,0.384,0.274,0.549,1,1
DeMarcus Cousins,"2015",24,12.7,3.6,1.5,1.7,4.3,24.1,0.545,0.008,0.508,0.144,0.354,1,1
Kawhi Leonard,"2016",24,6.8,2.6,1.8,1.0,1.5,21.2,0.616,0.267,0.306,0.277,0.817,1,1
LaMarcus Aldridge,"2016",30,8.5,1.5,0.5,1.1,1.3,18.0,0.565,0.015,0.289,0.215,0.817,1,1
Draymond Green,"2016",25,9.5,7.4,1.5,1.4,3.2,14.0,0.587,0.315,0.402,0.19,0.89,1,1
Klay Thompson,"2016",25,3.8,2.1,0.8,0.6,1.7,22.1,0.597,0.469,0.159,0.144,0.89,1,1
Stephen Curry,"2016",27,5.4,6.7,2.1,0.2,3.3,30.1,0.669,0.554,0.25,0.318,0.89,1,1
Kevin Durant,"2016",27,8.2,5.0,1.0,1.2,3.5,28.2,0.634,0.348,0.361,0.27,0.671,1,1
Russell Westbrook,"2016",27,7.8,10.4,2.0,0.3,4.3,23.5,0.554,0.236,0.397,0.245,0.671,1,1
LeBron James,"2016",31,7.4,6.8,1.4,0.6,3.3,25.3,0.588,0.199,0.347,0.242,0.695,1,1
Kyle Lowry,"2016",29,4.7,6.4,2.1,0.4,2.9,21.2,0.578,0.457,0.41,0.196,0.683,1,1
Chris Paul,"2016",30,4.2,10.0,2.1,0.2,2.6,19.5,0.575,0.295,0.294,0.253,0.646,1,1
Paul George,"2016",25,7.0,4.1,1.9,0.4,3.3,23.1,0.557,0.391,0.364,0.157,0.549,1,1
Andre Drummond,"2016",22,14.8,0.8,1.5,1.4,1.9,16.2,0.499,0.006,0.553,0.133,0.537,1,1
DeMarcus Cousins,"2016",25,11.5,3.3,1.6,1.4,3.8,26.9,0.538,0.158,0.498,0.122,0.402,1,1
Draymond Green,"2017",26,7.9,7.0,2.0,1.4,2.4,10.2,0.522,0.405,0.328,0.16,0.817,1,1
Kevin Durant,"2017",28,8.3,4.8,1.1,1.6,2.2,25.1,0.651,0.304,0.374,0.278,0.817,1,1
Stephen Curry,"2017",28,4.5,6.6,1.8,0.2,3.0,25.3,0.624,0.547,0.251,0.229,0.817,1,1
Kawhi Leonard,"2017",25,5.8,3.5,1.8,0.7,2.1,25.5,0.61,0.295,0.406,0.264,0.744,1,1
James Harden,"2017",27,8.1,11.2,1.5,0.5,5.7,29.1,0.613,0.493,0.575,0.245,0.671,1,1
DeMar DeRozan,"2017",27,5.2,3.9,1.1,0.2,2.4,27.3,0.552,0.08,0.419,0.166,0.622,1,1
DeAndre Jordan,"2017",28,13.8,1.2,0.6,1.7,1.4,12.7,0.673,0.003,0.737,0.221,0.622,1,1
LeBron James,"2017",32,8.6,8.7,1.2,0.6,4.1,26.4,0.619,0.254,0.395,0.221,0.622,1,1
Isaiah Thomas,"2017",27,2.7,5.9,0.9,0.2,2.8,28.9,0.625,0.439,0.441,0.234,0.646,1,1
John Wall,"2017",26,4.2,10.7,2.0,0.6,4.1,23.1,0.541,0.19,0.367,0.149,0.598,1,1
Russell Westbrook,"2017",28,10.7,10.4,1.6,0.4,5.4,31.6,0.554,0.3,0.433,0.224,0.573,1,1
Jimmy Butler,"2017",27,6.2,5.5,1.9,0.4,2.1,23.9,0.586,0.198,0.54,0.236,0.5,1,1
Giannis Antetokounmpo,"2017",22,8.8,5.4,1.6,1.9,2.9,22.9,0.599,0.143,0.486,0.21,0.512,1,1
Anthony Davis,"2017",23,11.8,2.1,1.3,2.2,2.4,28.0,0.58,0.088,0.424,0.195,0.415,1,1
James Harden,"2018",28,5.4,8.8,1.8,0.7,4.4,30.4,0.619,0.498,0.502,0.289,0.793,1,1
DeMar DeRozan,"2018",28,3.9,5.2,1.1,0.3,2.2,23.0,0.555,0.203,0.396,0.17,0.72,1,1
Kevin Durant,"2018",29,6.8,5.4,0.7,1.8,3.0,26.4,0.64,0.338,0.331,0.215,0.707,1,1
Stephen Curry,"2018",29,5.1,6.1,1.6,0.2,3.0,26.4,0.675,0.58,0.35,0.267,0.707,1,1
Joel Embiid,"2018",23,11.0,3.2,0.6,1.8,3.7,22.9,0.573,0.203,0.442,0.155,0.634,1,1
Paul George,"2018",27,5.7,3.3,2.0,0.5,2.7,21.9,0.57,0.454,0.307,0.147,0.585,1,1
Russell Westbrook,"2018",29,10.1,10.3,1.8,0.3,4.8,25.4,0.524,0.193,0.336,0.166,0.585,1,1
LaMarcus Aldridge,"2018",32,8.5,2.0,0.6,1.2,1.5,23.1,0.57,0.068,0.296,0.209,0.573,1,1
Damian Lillard,"2018",27,4.5,6.6,1.1,0.4,2.8,26.9,0.594,0.445,0.38,0.227,0.598,1,1
Jimmy Butler,"2018",28,5.3,4.9,2.0,0.4,1.8,22.2,0.59,0.217,0.461,0.198,0.573,1,1
Karl-Anthony Towns,"2018",22,12.3,2.4,0.8,1.4,1.9,21.3,0.646,0.243,0.343,0.23,0.573,1,1
Victor Oladipo,"2018",25,5.2,4.3,2.4,0.8,2.9,23.1,0.577,0.323,0.274,0.155,0.585,1,1
Anthony Davis,"2018",24,11.1,2.3,1.5,2.6,2.2,28.1,0.612,0.111,0.409,0.241,0.585,1,1
LeBron James,"2018",33,8.6,9.1,1.4,0.9,4.2,27.5,0.621,0.257,0.336,0.221,0.61,1,1
Giannis Antetokounmpo,"2018",23,10.0,4.8,1.5,1.4,3.0,26.9,0.598,0.1,0.457,0.207,0.537,1,1
Giannis Antetokounmpo,"2019",24,12.5,5.9,1.3,1.5,3.7,27.7,0.644,0.163,0.55,0.292,0.732,1,1
Kevin Durant,"2019",30,6.4,5.9,0.7,1.1,2.9,26.0,0.631,0.281,0.366,0.204,0.695,1,1
Stephen Curry,"2019",30,5.3,5.2,1.3,0.4,2.8,27.3,0.641,0.604,0.214,0.199,0.695,1,1
Kawhi Leonard,"2019",27,7.3,3.3,1.8,0.4,2.0,26.6,0.606,0.267,0.377,0.224,0.707,1,1
James Harden,"2019",29,6.6,7.5,2.0,0.7,5.0,36.1,0.616,0.539,0.449,0.254,0.646,1,1
Kyrie Irving,"2019",26,5.0,6.9,1.5,0.5,2.6,23.8,0.592,0.35,0.197,0.197,0.598,1,1
Damian Lillard,"2019",28,4.6,6.9,1.1,0.4,2.7,25.8,0.588,0.419,0.335,0.205,0.646,1,1
Nikola Jokic,"2019",23,10.8,7.3,1.4,0.7,3.1,20.1,0.589,0.224,0.292,0.226,0.659,1,1
Paul George,"2019",28,8.2,4.1,2.2,0.4,2.7,28.0,0.583,0.469,0.335,0.201,0.598,1,1
Russell Westbrook,"2019",30,11.1,10.7,1.9,0.5,4.5,22.9,0.501,0.279,0.306,0.124,0.598,1,1
Joel Embiid,"2019",24,13.6,3.7,0.7,1.9,3.5,27.5,0.593,0.219,0.541,0.194,0.622,1,1
Blake Griffin,"2019",29,7.5,5.4,0.7,0.4,3.4,24.5,0.581,0.389,0.41,0.147,0.5,1,1
Kemba Walker,"2019",28,4.4,5.9,1.2,0.4,2.6,25.6,0.558,0.434,0.267,0.123,0.476,1,1
LeBron James,"2019",34,8.5,8.3,1.3,0.6,3.6,27.4,0.588,0.299,0.382,0.179,0.451,1,1
Giannis Antetokounmpo,"2020",25,13.6,5.6,1.0,1.0,3.7,29.5,0.613,0.237,0.508,0.279,0.767,1,1
Jayson Tatum,"2020",21,7.0,3.0,1.4,0.9,2.3,23.4,0.567,0.383,0.255,0.146,0.667,1,1
Kawhi Leonard,"2020",28,7.1,4.9,1.8,0.6,2.6,27.1,0.589,0.287,0.355,0.226,0.681,1,1
Pascal Siakam,"2020",25,7.3,3.5,1.0,0.9,2.5,22.9,0.554,0.331,0.274,0.123,0.736,1,1
Anthony Davis,"2020",26,9.3,3.2,1.5,2.3,2.5,26.1,0.61,0.199,0.479,0.25,0.732,1,1
LeBron James,"2020",35,7.8,10.2,1.2,0.5,3.9,25.3,0.577,0.326,0.292,0.204,0.732,1,1
Luka Doncic,"2020",20,9.4,8.8,1.0,0.2,4.3,28.8,0.585,0.431,0.448,0.207,0.573,1,1
Jimmy Butler,"2020",30,6.7,6.0,1.8,0.6,2.2,19.9,0.585,0.157,0.693,0.221,0.603,1,1
James Harden,"2020",30,6.6,7.5,1.8,0.9,4.5,34.3,0.626,0.557,0.528,0.254,0.611,1,1
Russell Westbrook,"2020",31,7.9,7.0,1.6,0.4,4.5,27.2,0.536,0.166,0.297,0.098,0.611,1,1
Ben Simmons,"2020",23,7.8,8.0,2.1,0.6,3.5,16.4,0.602,0.011,0.461,0.165,0.589,1,1
Nikola Jokic,"2020",24,9.7,7.0,1.2,0.6,3.1,19.9,0.605,0.238,0.281,0.202,0.63,1,1
Chris Paul,"2020",34,5.0,6.7,1.6,0.2,2.3,17.6,0.61,0.343,0.315,0.193,0.611,1,1
Damian Lillard,"2020",29,4.3,8.0,1.1,0.3,2.9,30.0,0.627,0.5,0.384,0.225,0.473,1,1
Kawhi Leonard,"2021",29,6.5,5.2,1.6,0.4,2.0,24.8,0.622,0.28,0.325,0.238,0.653,1,1
Paul George,"2021",30,6.6,5.2,1.1,0.4,3.3,23.3,0.598,0.437,0.239,0.139,0.653,1,1
Chris Paul,"2021",35,4.5,8.9,1.4,0.3,2.2,16.4,0.599,0.294,0.206,0.201,0.708,1,1
Giannis Antetokounmpo,"2021",26,11.0,5.9,1.2,1.2,3.4,28.1,0.633,0.201,0.528,0.244,0.639,1,1
Joel Embiid,"2021",26,10.6,2.8,1.0,1.4,3.1,28.5,0.636,0.171,0.61,0.266,0.681,1,1
Nikola Jokic,"2021",25,10.8,8.3,1.3,0.7,3.1,26.4,0.647,0.183,0.305,0.301,0.653,1,1
LeBron James,"2021",36,7.7,7.8,1.1,0.6,3.7,25.0,0.602,0.346,0.31,0.179,0.583,1,1
Luka Doncic,"2021",21,8.0,8.6,1.0,0.5,4.3,27.7,0.587,0.406,0.349,0.163,0.583,1,1
Julius Randle,"2021",26,10.2,6.0,0.9,0.3,3.4,24.1,0.567,0.294,0.325,0.14,0.569,1,1
Damian Lillard,"2021",30,4.2,7.5,0.9,0.3,3.0,28.8,0.623,0.528,0.363,0.209,0.583,1,1
Stephen Curry,"2021",32,5.5,5.8,1.2,0.1,3.4,32.0,0.655,0.587,0.289,0.201,0.542,1,1
Bradley Beal,"2021",27,4.7,4.4,1.2,0.4,3.1,31.3,0.593,0.27,0.332,0.132,0.472,1,1
