"Player","Year","Age","ORPG","DRPG","RPG","APG","SPG","BPG","TOPG","PPG","PER","TS","3PAr","FTr","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","allstarFlag","allNBAFlag","Perc"
Dwyane Wade,"2012",30,1,3,4,4,1,1,2,22,26.3,0.559,0.067,0.355,4.8,2.9,7.7,0.227,6.0,1.9,7.9,4.0,1,1,0.697
Russell Westbrook,"2012",23,1,3,4,5,1,0,3,23,22.9,0.538,0.155,0.326,5.5,2.4,7.9,0.163,3.7,-0.7,3.0,3.0,1,1,0.712
Carmelo Anthony,"2013",28,2,4,6,2,0,0,2,28,24.8,0.56,0.278,0.344,7.5,2.0,9.5,0.184,6.0,-1.7,4.3,3.9,1,1,0.659
Kobe Bryant,"2013",34,0,4,5,6,1,0,3,27,23.0,0.57,0.255,0.392,8.4,2.6,10.9,0.174,4.7,-0.1,4.6,5.0,1,1,0.549
Tim Duncan,"2013",36,1,8,9,2,0,2,2,17,24.4,0.554,0.007,0.307,3.4,4.9,8.3,0.191,2.4,2.9,5.3,3.8,1,1,0.707
Kevin Durant,"2013",24,0,7,7,4,1,1,3,28,28.3,0.647,0.233,0.523,13.6,5.3,18.9,0.291,7.6,1.7,9.3,8.9,1,1,0.732
Paul George,"2013",22,1,6,7,4,1,0,2,17,16.8,0.531,0.399,0.233,2.7,6.3,9.0,0.145,1.5,2.3,3.8,4.4,1,1,0.605
Blake Griffin,"2013",23,2,5,8,3,1,0,2,18,22.4,0.572,0.026,0.397,6.8,3.9,10.6,0.196,3.2,0.8,4.1,4.0,1,1,0.683
James Harden,"2013",23,0,4,4,5,1,0,3,25,23.0,0.6,0.364,0.592,9.8,3.0,12.8,0.206,5.2,0.5,5.6,5.8,1,1,0.549
Dwight Howard,"2013",27,3,9,12,1,1,2,2,17,19.4,0.573,0.007,0.887,2.8,4.8,7.6,0.134,-0.6,1.1,0.6,1.8,1,1,0.549
LeBron James,"2013",28,1,6,8,7,1,0,2,26,31.6,0.64,0.188,0.395,14.6,4.7,19.3,0.322,9.3,2.4,11.7,9.9,1,1,0.805
David Lee,"2013",29,2,8,11,3,0,0,2,18,19.2,0.561,0.003,0.276,5.4,3.7,9.1,0.15,1.4,0.4,1.8,2.8,1,1,0.573
Tony Parker,"2013",30,0,2,3,7,0,0,2,20,23.0,0.588,0.068,0.332,7.1,2.3,9.3,0.206,4.1,-0.5,3.6,3.1,1,1,0.707
Chris Paul,"2013",27,0,2,3,9,2,0,2,16,26.4,0.594,0.271,0.377,10.6,3.4,13.9,0.287,6.4,2.4,8.8,6.4,1,1,0.683
Dwyane Wade,"2013",31,1,3,4,5,1,0,2,21,24.0,0.571,0.06,0.389,6.1,3.5,9.6,0.192,3.7,0.7,4.4,3.8,1,1,0.805
Russell Westbrook,"2013",24,1,3,5,7,1,0,3,23,23.9,0.532,0.195,0.375,7.7,3.9,11.6,0.195,4.6,-0.2,4.4,4.6,1,1,0.732
LaMarcus Aldridge,"2014",28,2,8,11,2,0,0,1,23,21.8,0.507,0.011,0.253,4.0,3.5,7.5,0.144,2.3,0.1,2.3,2.7,1,1,0.659
Stephen Curry,"2014",25,0,3,4,8,1,0,3,24,24.1,0.61,0.445,0.252,9.3,4.0,13.4,0.225,6.3,1.1,7.4,6.7,1,1,0.622
Kevin Durant,"2014",25,0,6,7,5,1,0,3,32,29.8,0.635,0.291,0.477,14.8,4.4,19.2,0.295,8.8,1.4,10.2,9.6,1,1,0.72
Paul George,"2014",23,0,5,6,3,1,0,2,21,20.1,0.555,0.367,0.341,4.4,6.4,10.8,0.178,2.7,2.1,4.9,5.0,1,1,0.683
Blake Griffin,"2014",24,2,7,9,3,1,0,2,24,23.9,0.583,0.032,0.496,8.1,4.1,12.2,0.205,3.8,0.7,4.5,4.7,1,1,0.695
James Harden,"2014",24,0,3,4,6,1,0,3,25,23.5,0.618,0.401,0.552,10.1,2.7,12.8,0.221,5.4,0.2,5.6,5.3,1,1,0.659
Dwight Howard,"2014",28,3,8,12,1,0,1,3,18,21.3,0.6,0.009,0.798,4.0,4.1,8.0,0.161,0.9,0.8,1.8,2.3,1,1,0.659
LeBron James,"2014",29,1,5,6,6,1,0,3,27,29.3,0.649,0.226,0.432,12.3,3.7,15.9,0.264,7.8,1.1,8.8,7.9,1,1,0.659
Damian Lillard,"2014",23,0,3,3,5,0,0,2,20,18.6,0.568,0.425,0.327,7.8,1.8,9.6,0.157,3.8,-0.6,3.2,3.9,1,1,0.659
Kevin Love,"2014",25,2,9,12,4,0,0,2,26,26.9,0.591,0.355,0.445,10.6,3.7,14.3,0.245,8.3,0.6,8.9,7.7,1,1,0.488
Joakim Noah,"2014",28,3,7,11,5,1,1,2,12,20.0,0.531,0.003,0.419,4.5,6.6,11.2,0.19,1.7,3.6,5.3,5.2,1,1,0.585
Tony Parker,"2014",31,0,2,2,5,0,0,2,16,18.9,0.555,0.073,0.266,3.9,1.9,5.9,0.141,2.0,-1.2,0.9,1.5,1,1,0.756
Chris Paul,"2014",28,0,3,4,10,2,0,2,19,25.9,0.58,0.244,0.397,9.0,3.2,12.2,0.27,6.0,2.6,8.6,5.8,1,1,0.695
LaMarcus Aldridge,"2015",29,2,7,10,1,0,0,1,23,22.8,0.528,0.074,0.256,4.9,3.7,8.6,0.165,3.2,-0.3,2.9,3.1,1,1,0.622
DeMarcus Cousins,"2015",24,3,9,12,3,1,1,4,24,25.2,0.545,0.008,0.508,2.8,3.2,6.0,0.144,2.8,1.5,4.3,3.2,1,1,0.354
Stephen Curry,"2015",26,0,3,4,7,2,0,3,23,28.0,0.638,0.482,0.251,11.5,4.1,15.7,0.288,8.2,1.7,9.9,7.9,1,1,0.817
Anthony Davis,"2015",21,2,7,10,2,1,2,1,24,30.8,0.591,0.01,0.384,9.9,4.2,14.0,0.274,6.6,2.3,8.9,6.7,1,1,0.549
Tim Duncan,"2015",38,2,6,9,2,0,1,1,13,22.6,0.56,0.009,0.38,4.9,4.7,9.6,0.207,2.3,2.8,5.1,4.0,1,1,0.671
Marc Gasol,"2015",30,1,6,7,3,0,1,2,17,21.7,0.558,0.016,0.41,5.5,4.7,10.2,0.182,2.7,2.4,5.1,4.8,1,1,0.671
Pau Gasol,"2015",34,2,8,11,2,0,1,2,18,22.7,0.55,0.023,0.317,6.0,4.4,10.4,0.187,2.9,0.6,3.5,3.7,1,1,0.61
Blake Griffin,"2015",25,1,5,7,5,0,0,2,21,22.8,0.551,0.022,0.373,6.6,2.4,9.0,0.183,3.8,0.2,4.0,3.6,1,1,0.683
James Harden,"2015",25,0,4,5,6,1,0,3,27,26.7,0.605,0.378,0.561,12.2,4.2,16.4,0.265,7.0,1.8,8.8,8.1,1,1,0.683
Kyrie Irving,"2015",22,0,2,3,5,1,0,2,21,21.5,0.583,0.306,0.296,8.4,2.0,10.4,0.183,4.4,-0.4,4.1,4.2,1,1,0.646
LeBron James,"2015",30,0,5,6,7,1,0,3,25,25.9,0.577,0.265,0.413,7.4,2.9,10.4,0.199,6.1,1.0,7.1,5.7,1,1,0.646
Chris Paul,"2015",29,0,3,4,10,1,0,2,19,26.0,0.596,0.298,0.274,12.9,3.2,16.1,0.27,6.4,1.6,8.0,7.2,1,1,0.683
Klay Thompson,"2015",24,0,2,3,2,1,0,1,21,20.8,0.591,0.42,0.197,5.7,3.1,8.8,0.172,4.5,-0.1,4.4,4.0,1,1,0.817
Russell Westbrook,"2015",26,1,5,7,8,2,0,4,28,29.1,0.536,0.196,0.445,7.5,3.2,10.6,0.222,6.9,1.2,8.1,5.8,1,1,0.549
LaMarcus Aldridge,"2016",30,2,6,8,1,0,1,1,17,22.4,0.565,0.015,0.289,5.6,4.5,10.1,0.215,2.0,0.3,2.3,2.5,1,1,0.817
DeMarcus Cousins,"2016",25,2,9,11,3,1,1,3,26,23.6,0.538,0.158,0.498,2.4,3.3,5.7,0.122,2.7,0.6,3.3,3.0,1,1,0.402
Stephen Curry,"2016",27,0,4,5,6,2,0,3,30,31.5,0.669,0.554,0.25,13.8,4.1,17.9,0.318,10.3,1.6,11.9,9.5,1,1,0.89
Andre Drummond,"2016",22,4,9,14,0,1,1,1,16,21.2,0.499,0.006,0.553,2.0,5.5,7.4,0.133,0.8,0.3,1.1,2.0,1,1,0.537
Kevin Durant,"2016",27,0,7,8,5,0,1,3,28,28.2,0.634,0.348,0.361,11.0,3.5,14.5,0.27,8.4,1.6,9.9,7.8,1,1,0.671
Paul George,"2016",25,0,5,6,4,1,0,3,23,20.9,0.557,0.391,0.364,4.4,4.8,9.2,0.157,3.7,1.2,4.9,4.9,1,1,0.549
Draymond Green,"2016",25,1,7,9,7,1,1,3,13,19.3,0.587,0.315,0.402,6.0,5.1,11.1,0.19,2.6,2.9,5.5,5.3,1,1,0.89
LeBron James,"2016",31,1,5,7,6,1,0,3,25,27.5,0.588,0.199,0.347,9.6,4.0,13.6,0.242,7.0,2.0,9.0,7.5,1,1,0.695
Kawhi Leonard,"2016",24,1,5,6,2,1,0,1,21,26.0,0.616,0.267,0.306,8.3,5.5,13.7,0.277,6.1,3.0,9.1,6.7,1,1,0.817
Kyle Lowry,"2016",29,0,4,4,6,2,0,2,21,22.1,0.578,0.457,0.41,8.0,3.7,11.6,0.196,4.7,1.1,5.8,5.7,1,1,0.683
Chris Paul,"2016",30,0,3,4,9,2,0,2,19,26.2,0.575,0.295,0.294,9.2,3.5,12.7,0.253,5.9,2.0,7.9,6.0,1,1,0.646
Klay Thompson,"2016",25,0,3,3,2,0,0,1,22,18.6,0.597,0.469,0.159,5.5,2.6,8.0,0.144,3.4,-1.6,1.8,2.5,1,1,0.89
Russell Westbrook,"2016",27,1,6,7,10,2,0,4,23,27.6,0.554,0.236,0.397,10.0,4.0,14.0,0.245,6.4,1.4,7.8,6.8,1,1,0.671
Giannis Antetokounmpo,"2017",22,1,6,8,5,1,1,2,22,26.1,0.599,0.143,0.486,7.9,4.5,12.4,0.21,4.9,2.4,7.3,6.7,1,1,0.512
Jimmy Butler,"2017",27,1,4,6,5,1,0,2,23,25.1,0.586,0.198,0.54,10.1,3.8,13.8,0.236,5.6,1.7,7.3,6.6,1,1,0.5
Stephen Curry,"2017",28,0,3,4,6,1,0,3,25,24.6,0.624,0.547,0.251,8.7,3.9,12.6,0.229,6.7,0.3,6.9,5.9,1,1,0.817
Anthony Davis,"2017",23,2,9,11,2,1,2,2,27,27.5,0.58,0.088,0.424,5.9,5.1,11.0,0.195,4.4,1.4,5.9,5.4,1,1,0.415
DeMar DeRozan,"2017",27,0,4,5,3,1,0,2,27,24.0,0.552,0.08,0.419,6.7,2.4,9.0,0.166,4.1,-1.0,3.0,3.3,1,1,0.622
Kevin Durant,"2017",28,0,7,8,4,1,1,2,25,27.6,0.651,0.304,0.374,8.0,4.0,12.0,0.278,6.7,2.2,8.9,5.7,1,1,0.817
Draymond Green,"2017",26,1,6,7,7,2,1,2,10,16.5,0.522,0.405,0.328,2.8,5.4,8.2,0.16,1.0,3.9,4.9,4.3,1,1,0.817
James Harden,"2017",27,1,6,8,11,1,0,5,29,27.4,0.613,0.493,0.575,11.5,3.6,15.0,0.245,7.5,1.2,8.7,8.0,1,1,0.671
LeBron James,"2017",32,1,7,8,8,1,0,4,26,27.0,0.619,0.254,0.395,9.8,3.0,12.9,0.221,6.4,1.2,7.6,6.7,1,1,0.622
DeAndre Jordan,"2017",28,3,10,13,1,0,1,1,12,21.8,0.673,0.003,0.737,7.2,4.6,11.8,0.221,2.5,0.9,3.3,3.5,1,1,0.622
Kawhi Leonard,"2017",25,1,4,5,3,1,0,2,25,27.6,0.61,0.295,0.406,8.9,4.7,13.6,0.264,7.1,2.2,9.4,7.1,1,1,0.744
Isaiah Thomas,"2017",27,0,2,2,5,0,0,2,28,26.5,0.625,0.439,0.441,10.9,1.6,12.5,0.234,7.8,-1.1,6.7,5.6,1,1,0.646
John Wall,"2017",26,0,3,4,10,2,0,4,23,23.2,0.541,0.19,0.367,5.8,3.0,8.8,0.149,4.6,0.1,4.7,4.8,1,1,0.598
Russell Westbrook,"2017",28,1,8,10,10,1,0,5,31,30.6,0.554,0.3,0.433,8.5,4.6,13.1,0.224,8.7,2.4,11.1,9.3,1,1,0.573
LaMarcus Aldridge,"2018",32,3,5,8,2,0,1,1,23,25.0,0.57,0.068,0.296,7.4,3.5,10.9,0.209,4.3,-0.4,3.9,3.7,1,1,0.573
Giannis Antetokounmpo,"2018",23,2,7,10,4,1,1,2,26,27.3,0.598,0.1,0.457,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7,1,1,0.537
Jimmy Butler,"2018",28,1,3,5,4,1,0,1,22,23.7,0.59,0.217,0.461,7.1,1.8,8.9,0.198,5.0,0.7,5.8,4.2,1,1,0.573
Stephen Curry,"2018",29,0,4,5,6,1,0,3,26,28.2,0.675,0.58,0.35,7.2,1.9,9.1,0.267,7.8,0.0,7.7,4.0,1,1,0.707
Anthony Davis,"2018",24,2,8,11,2,1,2,2,28,28.9,0.612,0.111,0.409,8.8,4.9,13.7,0.241,5.3,1.4,6.7,5.9,1,1,0.585
DeMar DeRozan,"2018",28,0,3,3,5,1,0,2,23,21.0,0.555,0.203,0.396,6.8,2.8,9.6,0.17,3.3,-0.6,2.8,3.2,1,1,0.72
Kevin Durant,"2018",29,0,6,6,5,0,1,3,26,26.0,0.64,0.338,0.331,7.5,2.9,10.4,0.215,6.7,0.6,7.3,5.5,1,1,0.707
Joel Embiid,"2018",23,2,8,10,3,0,1,3,22,22.9,0.573,0.203,0.442,2.3,3.8,6.2,0.155,2.0,1.3,3.3,2.6,1,1,0.634
Paul George,"2018",27,0,4,5,3,2,0,2,21,18.7,0.57,0.454,0.307,5.0,3.9,8.9,0.147,2.3,0.6,2.9,3.6,1,1,0.585
James Harden,"2018",28,0,4,5,8,1,0,4,30,29.8,0.619,0.498,0.502,11.6,3.8,15.4,0.289,8.5,1.4,9.9,7.7,1,1,0.793
LeBron James,"2018",33,1,7,8,9,1,0,4,27,28.6,0.621,0.257,0.336,11.0,3.0,14.0,0.221,7.3,1.4,8.7,8.2,1,1,0.61
Damian Lillard,"2018",27,0,3,4,6,1,0,2,26,25.2,0.594,0.445,0.38,9.9,2.7,12.6,0.227,7.0,0.3,7.2,6.3,1,1,0.598
Victor Oladipo,"2018",25,0,4,5,4,2,0,2,23,23.1,0.577,0.323,0.274,4.3,4.0,8.2,0.155,4.1,1.7,5.8,5.0,1,1,0.585
Karl-Anthony Towns,"2018",22,2,9,12,2,0,1,1,21,24.9,0.646,0.243,0.343,10.6,3.4,14.0,0.23,4.9,0.2,5.1,5.2,1,1,0.573
Russell Westbrook,"2018",29,1,8,10,10,1,0,4,25,24.7,0.524,0.193,0.336,5.5,4.5,10.1,0.166,4.8,1.5,6.3,6.1,1,1,0.585
Giannis Antetokounmpo,"2019",24,2,10,12,5,1,1,3,27,30.9,0.644,0.163,0.55,8.9,5.5,14.4,0.292,6.3,4.1,10.4,7.4,1,1,0.732
Stephen Curry,"2019",30,0,4,5,5,1,0,2,27,24.4,0.641,0.604,0.214,7.2,2.5,9.7,0.199,7.1,-0.5,6.6,5.1,1,1,0.695
Kevin Durant,"2019",30,0,5,6,5,0,1,2,25,24.2,0.631,0.281,0.366,8.6,2.9,11.5,0.204,5.4,0.1,5.5,5.1,1,1,0.695
Joel Embiid,"2019",24,2,11,13,3,0,1,3,27,26.1,0.593,0.219,0.541,4.9,3.8,8.7,0.194,4.0,0.9,4.9,3.8,1,1,0.622
Paul George,"2019",28,1,6,8,4,2,0,2,28,23.3,0.583,0.469,0.335,7.0,4.9,11.9,0.201,5.6,1.6,7.2,6.6,1,1,0.598
Blake Griffin,"2019",29,1,6,7,5,0,0,3,24,21.0,0.581,0.389,0.41,5.1,2.9,8.0,0.147,4.9,0.2,5.1,4.7,1,1,0.5
James Harden,"2019",29,0,5,6,7,2,0,4,36,30.6,0.616,0.539,0.449,11.4,3.8,15.2,0.254,9.4,1.6,11.0,9.3,1,1,0.646
Kyrie Irving,"2019",26,1,3,5,6,1,0,2,23,24.3,0.592,0.35,0.197,6.2,2.9,9.1,0.197,6.0,1.1,7.2,5.1,1,1,0.598
LeBron James,"2019",34,1,7,8,8,1,0,3,27,25.6,0.588,0.299,0.382,4.7,2.6,7.2,0.179,6.4,1.7,8.0,4.9,1,1,0.451
Nikola Jokic,"2019",23,2,7,10,7,1,0,3,20,26.3,0.589,0.224,0.292,7.5,4.3,11.8,0.226,6.2,2.9,9.1,7.0,1,1,0.659
Kawhi Leonard,"2019",27,1,6,7,3,1,0,2,26,25.8,0.606,0.267,0.377,6.1,3.4,9.5,0.224,6.1,1.1,7.2,4.7,1,1,0.707
Damian Lillard,"2019",28,0,3,4,6,1,0,2,25,23.7,0.588,0.419,0.335,9.7,2.4,12.1,0.205,6.6,-0.3,6.4,6.0,1,1,0.646
Kemba Walker,"2019",28,0,3,4,5,1,0,2,25,21.7,0.558,0.434,0.267,5.5,1.9,7.4,0.123,5.2,-1.0,4.2,4.4,1,1,0.476
Russell Westbrook,"2019",30,1,9,11,10,1,0,4,22,21.1,0.501,0.279,0.306,1.8,5.0,6.8,0.124,2.8,2.4,5.2,4.7,1,1,0.598
Giannis Antetokounmpo,"2020",25,2,11,13,5,0,1,3,29,31.9,0.613,0.237,0.508,6.1,5.0,11.1,0.279,7.4,4.1,11.5,6.6,1,1,0.767
Jimmy Butler,"2020",30,1,4,6,6,1,0,2,19,23.6,0.585,0.157,0.693,6.3,2.7,9.0,0.221,4.0,1.5,5.4,3.7,1,1,0.603
Anthony Davis,"2020",26,2,7,9,3,1,2,2,26,27.4,0.61,0.199,0.479,6.7,4.4,11.1,0.25,5.4,2.6,8.0,5.4,1,1,0.732
Luka Doncic,"2020",20,1,8,9,8,1,0,4,28,27.6,0.585,0.431,0.448,6.5,2.3,8.8,0.207,7.4,1.0,8.4,5.4,1,1,0.573
James Harden,"2020",30,1,5,6,7,1,0,4,34,29.1,0.626,0.557,0.528,9.9,3.2,13.1,0.254,8.1,1.6,9.6,7.3,1,1,0.611
LeBron James,"2020",35,0,6,7,10,1,0,3,25,25.5,0.577,0.326,0.292,6.2,3.6,9.8,0.204,6.6,1.8,8.4,6.1,1,1,0.732
Nikola Jokic,"2020",24,2,7,9,7,1,0,3,19,24.9,0.605,0.238,0.281,6.7,3.1,9.8,0.202,5.5,2.0,7.4,5.5,1,1,0.63
Kawhi Leonard,"2020",28,0,6,7,4,1,0,2,27,26.9,0.589,0.287,0.355,5.4,3.3,8.7,0.226,6.5,2.4,8.9,5.1,1,1,0.681
Damian Lillard,"2020",29,0,3,4,8,1,0,2,29,26.9,0.627,0.5,0.384,10.9,0.7,11.6,0.225,8.3,-0.9,7.5,5.9,1,1,0.473
Chris Paul,"2020",34,0,4,4,6,1,0,2,17,21.7,0.61,0.343,0.315,5.9,3.0,8.9,0.193,3.0,1.4,4.4,3.5,1,1,0.611
Pascal Siakam,"2020",25,1,6,7,3,1,0,2,22,17.9,0.554,0.331,0.274,1.8,3.6,5.4,0.123,1.3,0.5,1.8,2.0,1,1,0.736
Ben Simmons,"2020",23,1,5,7,7,2,0,3,16,20.4,0.602,0.011,0.461,3.8,3.1,6.9,0.165,1.3,2.3,3.6,2.8,1,1,0.589
Jayson Tatum,"2020",21,0,6,6,3,1,0,2,23,20.4,0.567,0.383,0.255,3.2,3.7,6.9,0.146,3.5,0.6,4.0,3.4,1,1,0.667
Russell Westbrook,"2020",31,1,6,7,7,1,0,4,27,21.0,0.536,0.166,0.297,1.7,2.5,4.2,0.098,1.6,-0.1,1.5,1.8,1,1,0.611
Giannis Antetokounmpo,"2021",26,1,9,11,5,1,1,3,28,29.2,0.633,0.201,0.528,6.9,3.3,10.2,0.244,6.2,2.6,8.8,5.5,1,1,0.639
Bradley Beal,"2021",27,1,3,4,4,1,0,3,31,22.7,0.593,0.27,0.332,4.2,1.7,5.9,0.132,4.9,-1.7,3.2,2.8,1,1,0.472
Stephen Curry,"2021",32,0,5,5,5,1,0,3,31,26.3,0.655,0.587,0.289,6.5,2.5,9.0,0.201,8.1,0.0,8.1,5.5,1,1,0.542
Luka Doncic,"2021",21,0,7,7,8,0,0,4,27,25.3,0.587,0.406,0.349,5.1,2.6,7.7,0.163,6.1,0.6,6.7,5.0,1,1,0.583
Joel Embiid,"2021",26,2,8,10,2,0,1,3,28,30.3,0.636,0.171,0.61,5.6,3.2,8.8,0.266,6.2,1.0,7.2,3.7,1,1,0.681
Paul George,"2021",30,0,5,6,5,1,0,3,23,20.5,0.598,0.437,0.239,3.0,2.3,5.3,0.139,4.0,-0.4,3.7,2.6,1,1,0.653
LeBron James,"2021",36,0,7,7,7,1,0,3,25,24.2,0.602,0.346,0.31,3.0,2.6,5.6,0.179,5.9,1.6,7.5,3.6,1,1,0.583
Nikola Jokic,"2021",25,2,7,10,8,1,0,3,26,31.3,0.647,0.183,0.305,12.2,3.4,15.6,0.301,9.2,2.5,11.7,8.6,1,1,0.653
Kawhi Leonard,"2021",29,1,5,6,5,1,0,2,24,26.0,0.622,0.28,0.325,6.4,2.4,8.8,0.238,5.7,1.0,6.7,3.9,1,1,0.653
Damian Lillard,"2021",30,0,3,4,7,0,0,3,28,25.6,0.623,0.528,0.363,9.6,0.8,10.4,0.209,7.4,-1.6,5.9,4.8,1,1,0.583
Chris Paul,"2021",35,0,4,4,8,1,0,2,16,21.4,0.599,0.294,0.206,6.5,2.7,9.2,0.201,3.4,1.3,4.7,3.7,1,1,0.708
Julius Randle,"2021",26,1,9,10,6,0,0,3,24,19.7,0.567,0.294,0.325,3.4,4.3,7.8,0.14,3.0,0.7,3.7,3.8,1,1,0.569
