Team,G,Season,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
League Average,1980,82,241.8,43.6,90.6,.481,0.8,2.8,.280,42.9,87.9,.488,21.3,27.8,.764,15.1,29.9,44.9,25.8,9.4,5.3,18.9,24.4,109.3
League Average,1981,82,241.4,43.0,88.4,.486,0.5,2.0,.245,42.5,86.4,.491,21.7,28.9,.751,14.5,28.9,43.5,25.5,9.0,5.3,18.7,25.1,108.1
League Average,1982,82,241.6,43.3,88.2,.491,0.6,2.3,.262,42.7,86.0,.497,21.3,28.6,.746,14.3,29.1,43.5,25.2,8.5,5.4,17.7,26.2,108.6
League Average,1983,82,241.3,43.5,89.7,.485,0.5,2.3,.238,43.0,87.4,.492,20.9,28.3,.740,14.8,29.6,44.5,25.9,8.9,5.6,19.1,25.6,108.5
League Average,1984,82,242.0,43.5,88.4,.492,0.6,2.4,.250,42.9,86.0,.499,22.6,29.7,.760,14.2,28.8,43.0,26.2,8.5,5.3,17.9,25.8,110.1
League Average,1985,82,241.4,43.8,89.1,.491,0.9,3.1,.282,42.9,86.0,.499,22.4,29.4,.764,14.3,29.2,43.5,26.3,8.5,5.3,17.9,24.9,110.8
League Average,1986,82,241.6,43.2,88.6,.487,0.9,3.3,.282,42.3,85.3,.495,22.9,30.3,.756,14.1,29.4,43.6,26.0,8.8,5.3,17.8,25.2,110.2
League Average,1987,82,241.6,42.6,88.8,.480,1.4,4.7,.301,41.2,84.1,.490,23.2,30.5,.763,14.7,29.3,44.0,26.0,8.6,5.5,17.0,24.5,109.9
League Average,1988,82,241.3,42.1,87.7,.480,1.6,5.0,.316,40.6,82.7,.490,22.3,29.1,.766,14.2,29.2,43.4,25.8,8.5,5.4,16.7,24.1,108.2
League Average,1989,82,241.5,42.5,89.0,.477,2.1,6.6,.323,40.4,82.4,.490,22.1,28.8,.768,14.5,29.4,43.9,25.6,9.1,5.3,17.2,23.7,109.2
League Average,1990,82,241.5,41.5,87.2,.476,2.2,6.6,.331,39.3,80.6,.488,21.8,28.5,.764,13.8,29.3,43.1,24.9,8.5,5.1,16.1,23.3,107.0
League Average,1991,82,241.8,41.4,87.2,.474,2.3,7.1,.320,39.1,80.1,.488,21.3,27.9,.765,14.0,29.3,43.3,24.7,8.6,5.3,16.0,23.2,106.3
League Average,1992,82,241.8,41.3,87.3,.472,2.5,7.6,.331,38.7,79.7,.486,20.2,26.7,.759,14.4,29.3,43.7,24.5,8.6,5.5,15.6,22.2,105.3
League Average,1993,82,241.7,40.7,86.0,.473,3.0,9.0,.336,37.7,77.0,.489,20.9,27.7,.754,13.8,29.3,43.1,24.7,8.6,5.2,15.9,23.2,105.3
League Average,1994,82,241.1,39.3,84.4,.466,3.3,9.9,.333,36.0,74.5,.483,19.6,26.6,.734,13.9,29.1,43.0,24.4,8.9,5.2,16.0,22.2,101.5
League Average,1995,82,241.9,38.0,81.5,.466,5.5,15.3,.359,32.5,66.2,.491,19.9,27.1,.737,13.0,28.5,41.6,23.4,8.3,5.2,15.9,23.5,101.4
League Average,1996,82,241.6,37.0,80.2,.462,5.9,16.0,.367,31.2,64.1,.486,19.5,26.4,.740,12.6,28.6,41.3,22.7,8.0,5.1,15.8,23.0,99.5
League Average,1997,82,241.9,36.1,79.3,.455,6.0,16.8,.360,30.0,62.5,.480,18.7,25.3,.738,12.7,28.4,41.1,22.0,8.2,4.9,15.7,22.1,96.9
League Average,1998,82,241.9,35.9,79.7,.450,4.4,12.7,.346,31.5,67.0,.470,19.4,26.3,.737,13.1,28.5,41.5,22.0,8.4,5.1,15.5,22.4,95.6
League Average,1999,50,241.8,34.2,78.2,.437,4.5,13.2,.339,29.7,65.0,.457,18.8,25.8,.728,12.6,29.1,41.7,20.7,8.4,5.0,15.3,22.2,91.6
League Average,2000,82,241.5,36.8,82.1,.449,4.8,13.7,.353,32.0,68.4,.468,19.0,25.3,.750,12.4,30.5,42.9,22.3,7.9,5.2,15.5,23.3,97.5
League Average,2001,82,242.0,35.7,80.6,.443,4.8,13.7,.354,30.8,66.9,.461,18.6,24.9,.748,12.0,30.5,42.5,21.8,7.8,5.3,15.0,22.3,94.8
League Average,2002,82,241.7,36.2,81.3,.445,5.2,14.7,.354,31.0,66.5,.465,17.9,23.8,.752,12.2,30.2,42.4,21.9,7.8,5.2,14.5,21.2,95.5
League Average,2003,82,242.0,35.7,80.8,.442,5.1,14.7,.349,30.6,66.1,.463,18.5,24.4,.758,12.0,30.3,42.3,21.5,7.9,5.0,14.9,21.8,95.1
League Average,2004,82,241.7,35.0,79.8,.439,5.2,14.9,.347,29.8,64.9,.460,18.2,24.2,.752,12.1,30.1,42.2,21.3,7.9,5.1,15.0,21.4,93.4
League Average,2005,82,241.9,35.9,80.3,.447,5.6,15.8,.356,30.3,64.6,.470,19.7,26.1,.756,12.0,29.8,41.9,21.3,7.5,4.9,14.5,22.6,97.2
League Average,2006,82,242.1,35.8,79.0,.454,5.7,16.0,.358,30.1,63.0,.478,19.6,26.3,.745,11.2,29.8,41.0,20.6,7.2,4.7,14.4,22.8,97.0
League Average,2007,82,242.2,36.5,79.7,.458,6.1,16.9,.358,30.5,62.8,.485,19.6,26.1,.752,11.1,29.9,41.1,21.3,7.2,4.6,15.1,22.2,98.7
League Average,2008,82,241.5,37.3,81.5,.457,6.6,18.1,.362,30.7,63.4,.484,18.8,24.9,.755,11.2,30.8,42.0,21.8,7.3,4.7,14.1,21.0,99.9
League Average,2009,82,241.7,37.1,80.9,.459,6.6,18.1,.367,30.5,62.8,.485,19.1,24.7,.771,11.0,30.3,41.3,21.0,7.3,4.8,14.0,21.0,100.0
League Average,2010,82,241.7,37.7,81.7,.461,6.4,18.1,.355,31.3,63.6,.492,18.6,24.5,.759,11.0,30.8,41.7,21.2,7.2,4.9,14.2,20.9,100.4
League Average,2011,82,241.9,37.2,81.2,.459,6.5,18.0,.358,30.8,63.2,.487,18.6,24.4,.763,10.9,30.5,41.4,21.5,7.3,4.9,14.3,20.7,99.6
League Average,2012,66,241.9,36.5,81.4,.448,6.4,18.4,.349,30.1,63.0,.477,16.9,22.5,.752,11.4,30.8,42.2,21.0,7.7,5.1,14.6,19.6,96.3
League Average,2013,82,241.9,37.1,82.0,.453,7.2,20.0,.359,30.0,62.1,.483,16.7,22.2,.753,11.2,31.0,42.1,22.1,7.8,5.1,14.6,19.8,98.1
League Average,2014,82,242.0,37.7,83.0,.454,7.7,21.5,.360,30.0,61.5,.488,17.8,23.6,.756,10.9,31.8,42.7,22.0,7.7,4.7,14.6,20.7,101.0
League Average,2015,82,242.0,37.5,83.6,.449,7.8,22.4,.350,29.7,61.2,.485,17.1,22.8,.750,10.9,32.4,43.3,22.0,7.7,4.8,14.4,20.2,100.0
League Average,2016,82,241.8,38.2,84.6,.452,8.5,24.1,.354,29.7,60.5,.491,17.7,23.4,.757,10.4,33.3,43.8,22.3,7.8,5.0,14.4,20.3,102.7
League Average,2017,82,241.6,39.0,85.4,.457,9.7,27.0,.358,29.4,58.4,.503,17.8,23.1,.772,10.1,33.4,43.5,22.6,7.7,4.7,14.0,19.9,105.6
League Average,2018,82,241.4,39.6,86.1,.460,10.5,29.0,.362,29.1,57.1,.510,16.6,21.7,.767,9.7,33.8,43.5,23.2,7.7,4.8,14.3,19.9,106.3
League Average,2019,82,241.6,41.1,89.2,.461,11.4,32.0,.355,29.7,57.2,.520,17.7,23.1,.766,10.3,34.8,45.2,24.6,7.6,5.0,14.1,20.9,111.2
League Average,2020,71,241.8,40.9,88.8,.460,12.2,34.1,.358,28.7,54.7,.524,17.9,23.1,.773,10.1,34.8,44.8,24.4,7.6,4.9,14.5,20.8,111.8
League Average,2021,72,241.4,41.2,88.4,.466,12.7,34.6,.367,28.5,53.8,.530,17.0,21.8,.778,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1
League Average,2022,21,241.7,39.8,88.6,.449,12.3,35.7,.343,27.5,52.9,.520,15.5,20.1,.771,10.3,35.1,45.4,23.5,7.9,4.9,14.3,19.0,107.3
